Destination Code,Line,Terminal ID,Station ID,Terminal Name
K,2,KIP,KIP,Kipling
S,2,ISL,ISL,Islington
N,2,JAN,JNE,Jane
E,2,KEL,KEL,Keele
F,2,OSS,OSS,Ossington
C,2,CHR,CHR,Christie
L,2,SGL,SGL,St. George Lower Level
B,2,BRD,BRD,Broadview
H,2,CHE,CHE,Chester
G,2,GWY,GWD,Greenwood Wye
W,2,WDB,WDB,Woodbine
V,2,VPK,VPK,Victoria Park
R,2,WAR,WAR,Warden
J,2,KEN,KEN,Kennedy
W,3,YIW,YIE,Yonge West
Y,3,YIE,YIE,Yonge East
B,3,BYV,BYV,Bayview
M,3,DML,DML,Don Mills
H,1,VMC,VMC,Vaughan Metro Center
O,1,PVL,PVL,Pioneer Village
I,1,FIW,FIW,Finch West
V,1,DWN,DWN,Downview
W,1,WYD,WIL,Wilson Yard
X,1,WIL,WIL,Wilson
R,1,LWW,LWW,Lawrence West
C,1,SCW,SCW,St. Clair West
P,1,SPA,SPA,Spadina
G,1,SGU,SGU,St. George
Z,1,OSG,OSG,Osgoode
A,1,STA,STA,St. Andrew
U,1,UNI,UNI,Union
B,1,BLO,BLO,Bloor
M,1,DVV,DAV,Davisville Yard
D,1,DAV,DAV,Davisville
E,1,EGL,EGL,Eglinton
L,1,LAW,LAW,Lawrence
Y,1,YKM,LAW,York Mills
S,1,SHP,SHP,Sheppard
F,1,FIN,FIN,Finch
T,1,FNS,FIN,Finch Storage Tracks
