NTASData [id=16594990251, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 12:40:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594990252, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.0140939597315435, timeString=03.01, trainDestination=DML1, createDate=Sun Sep 17 12:40:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594990253, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=10.314664429530202, timeString=10.31, trainDestination=DML1, createDate=Sun Sep 17 12:40:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594990254, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.0140939597315435, timeString=03.01, trainDestination=DML1, createDate=Sun Sep 17 12:40:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594990255, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=10.314664429530202, timeString=10.31, trainDestination=DML1, createDate=Sun Sep 17 12:40:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594990256, subwayLine=SHEP, stationId=BYV2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=1.536241610738255, timeString=01.54, trainDestination=YIE2, createDate=Sun Sep 17 12:40:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594990257, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=5.677147651006711, timeString=05.68, trainDestination=YIE2, createDate=Sun Sep 17 12:40:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594990258, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=5.677147651006711, timeString=05.68, trainDestination=YIE2, createDate=Sun Sep 17 12:40:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594990259, subwayLine=SHEP, stationId=BYV1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=3.43489932885906, timeString=03.43, trainDestination=DML1, createDate=Sun Sep 17 12:40:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594990260, subwayLine=SHEP, stationId=BSS1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=5.222114093959731, timeString=05.22, trainDestination=DML1, createDate=Sun Sep 17 12:40:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594990261, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=6.81, timeString=06.81, trainDestination=DML1, createDate=Sun Sep 17 12:40:02 EDT 2017, systemMessageType=Normal]
