NTASData [id=16594578674, subwayLine=YUS, stationId=EGL1, trainId=121, trainMessage=Delayed, trainDirection=North, timeInt=0.35616444444444445, timeString=00.36, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578675, subwayLine=YUS, stationId=EGL1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=1.3591822222222223, timeString=01.36, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578676, subwayLine=YUS, stationId=EGL1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=7.15776888888889, timeString=07.16, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578677, subwayLine=YUS, stationId=LAW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=3.31724, timeString=03.32, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578678, subwayLine=YUS, stationId=LAW1, trainId=121, trainMessage=Delayed, trainDirection=North, timeInt=4.64807111111111, timeString=04.65, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578679, subwayLine=YUS, stationId=LAW1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=5.651088888888888, timeString=05.65, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578680, subwayLine=YUS, stationId=YKM1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=6.831906666666666, timeString=06.83, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578681, subwayLine=YUS, stationId=YKM1, trainId=121, trainMessage=Delayed, trainDirection=North, timeInt=8.162737777777778, timeString=08.16, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578682, subwayLine=YUS, stationId=YKM1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=9.165755555555556, timeString=09.17, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578683, subwayLine=YUS, stationId=SHP1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=10.418257777777777, timeString=10.42, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578684, subwayLine=YUS, stationId=SHP1, trainId=121, trainMessage=Delayed, trainDirection=North, timeInt=11.74908888888889, timeString=11.75, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578685, subwayLine=YUS, stationId=SHP1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=12.752106666666666, timeString=12.75, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578686, subwayLine=YUS, stationId=NYC1, trainId=118, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578687, subwayLine=YUS, stationId=NYC1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=11.879475555555556, timeString=11.88, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578688, subwayLine=YUS, stationId=NYC1, trainId=121, trainMessage=Delayed, trainDirection=North, timeInt=13.210306666666668, timeString=13.21, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578689, subwayLine=YUS, stationId=FIN1, trainId=3, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578690, subwayLine=YUS, stationId=FIN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=2.60704, timeString=02.61, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578691, subwayLine=YUS, stationId=FIN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=14.486515555555556, timeString=14.49, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578692, subwayLine=YUS, stationId=FIN2, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=2.60704, timeString=02.61, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578693, subwayLine=YUS, stationId=FIN2, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=14.486515555555556, timeString=14.49, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578694, subwayLine=YUS, stationId=FIN2, trainId=121, trainMessage=Delayed, trainDirection=North, timeInt=15.817346666666667, timeString=15.82, trainDestination=FIN1, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578695, subwayLine=YUS, stationId=NYC2, trainId=101, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578696, subwayLine=YUS, stationId=SHP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=1.4606533333333336, timeString=01.46, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578697, subwayLine=YUS, stationId=YKM2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=5.04136, timeString=05.04, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578698, subwayLine=YUS, stationId=LAW2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=8.554333333333332, timeString=08.55, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578699, subwayLine=YUS, stationId=EGL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.7721822222222223, timeString=03.77, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578700, subwayLine=YUS, stationId=EGL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=12.837208888888886, timeString=12.84, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578701, subwayLine=YUS, stationId=DAV2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.3818488888888885, timeString=05.38, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578702, subwayLine=YUS, stationId=DAV2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=14.446875555555556, timeString=14.45, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578703, subwayLine=YUS, stationId=STC2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=7.4210577777777775, timeString=07.42, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578704, subwayLine=YUS, stationId=STC2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=16.486084444444444, timeString=16.49, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578705, subwayLine=YUS, stationId=SUM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=8.825266666666668, timeString=08.83, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578706, subwayLine=YUS, stationId=SUM2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=17.890293333333332, timeString=17.89, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578707, subwayLine=YUS, stationId=ROS2, trainId=16, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578708, subwayLine=YUS, stationId=ROS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=9.84396, timeString=09.84, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578709, subwayLine=YUS, stationId=ROS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=18.908986666666664, timeString=18.91, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578710, subwayLine=YUS, stationId=BLO2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=1.3280088888888888, timeString=01.33, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594578711, subwayLine=YUS, stationId=BLO2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=11.17196888888889, timeString=11.17, trainDestination=SHW2, createDate=Sun Sep 17 12:07:43 EDT 2017, systemMessageType=Normal]
