NTASData [id=16593885928, subwayLine=YUS, stationId=SHW2, trainId=123, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885929, subwayLine=YUS, stationId=SHW2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=1.1855925925925928, timeString=01.19, trainDestination=SHW2, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885930, subwayLine=YUS, stationId=SHW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=2.607962962962963, timeString=02.61, trainDestination=SHW2, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885931, subwayLine=YUS, stationId=SHW1, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=1.1855925925925928, timeString=01.19, trainDestination=SHW2, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885932, subwayLine=YUS, stationId=SHW1, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=2.607962962962963, timeString=02.61, trainDestination=SHW2, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885933, subwayLine=YUS, stationId=SHW1, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=8.624828148148149, timeString=08.62, trainDestination=SHW2, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885934, subwayLine=YUS, stationId=WIL1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=0.5053132444444444, timeString=00.51, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885935, subwayLine=YUS, stationId=WIL1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=2.400053985185185, timeString=02.40, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885936, subwayLine=YUS, stationId=WIL1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.142905837037037, timeString=03.14, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885937, subwayLine=YUS, stationId=YKD1, trainId=534, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885938, subwayLine=YUS, stationId=YKD1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=1.50114, timeString=01.50, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885939, subwayLine=YUS, stationId=YKD1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=2.5208154666666664, timeString=02.52, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885940, subwayLine=YUS, stationId=LWW1, trainId=118, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885941, subwayLine=YUS, stationId=LWW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=2.0183244444444446, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885942, subwayLine=YUS, stationId=LWW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=3.5194644444444445, timeString=03.52, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885943, subwayLine=YUS, stationId=GCN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=1.358488888888889, timeString=01.36, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885944, subwayLine=YUS, stationId=GCN1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=3.3768133333333337, timeString=03.38, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885945, subwayLine=YUS, stationId=GCN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=4.877953333333333, timeString=04.88, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885946, subwayLine=YUS, stationId=EGW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=3.1786933333333334, timeString=03.18, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885947, subwayLine=YUS, stationId=EGW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=5.197017777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885948, subwayLine=YUS, stationId=EGW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=6.698157777777777, timeString=06.70, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885949, subwayLine=YUS, stationId=SCW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=7.878128888888888, timeString=07.88, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885950, subwayLine=YUS, stationId=SCW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=9.896453333333332, timeString=09.90, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885951, subwayLine=YUS, stationId=SCW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=11.397593333333331, timeString=11.40, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885952, subwayLine=YUS, stationId=DUP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=10.502666666666665, timeString=10.50, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885953, subwayLine=YUS, stationId=DUP1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=12.52099111111111, timeString=12.52, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885954, subwayLine=YUS, stationId=DUP1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=14.022131111111111, timeString=14.02, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885955, subwayLine=YUS, stationId=SPA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=11.503297777777778, timeString=11.50, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885956, subwayLine=YUS, stationId=SPA1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=13.521622222222222, timeString=13.52, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885957, subwayLine=YUS, stationId=SPA1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=15.022762222222221, timeString=15.02, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885958, subwayLine=YUS, stationId=SGU1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=12.632904444444442, timeString=12.63, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885959, subwayLine=YUS, stationId=SGU1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=14.651228888888888, timeString=14.65, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885960, subwayLine=YUS, stationId=SGU1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=16.152368888888887, timeString=16.15, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885961, subwayLine=YUS, stationId=MUS1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=13.83490111111111, timeString=13.83, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885962, subwayLine=YUS, stationId=MUS1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=15.853225555555554, timeString=15.85, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885963, subwayLine=YUS, stationId=MUS1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=17.354365555555553, timeString=17.35, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885964, subwayLine=YUS, stationId=QPK1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=15.097434444444442, timeString=15.10, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885965, subwayLine=YUS, stationId=QPK1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=17.115758888888887, timeString=17.12, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885966, subwayLine=YUS, stationId=QPK1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=18.616898888888887, timeString=18.62, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885967, subwayLine=YUS, stationId=STP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=16.248207777777775, timeString=16.25, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885968, subwayLine=YUS, stationId=STP1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=18.266532222222224, timeString=18.27, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885969, subwayLine=YUS, stationId=STP1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=19.767672222222224, timeString=19.77, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885970, subwayLine=YUS, stationId=OSG1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=16.999354444444442, timeString=17.00, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885971, subwayLine=YUS, stationId=OSG1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=19.01767888888889, timeString=19.02, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885972, subwayLine=YUS, stationId=OSG1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=20.518818888888887, timeString=20.52, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885973, subwayLine=YUS, stationId=STA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=17.83319222222222, timeString=17.83, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593885974, subwayLine=YUS, stationId=STA1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=19.85151666666667, timeString=19.85, trainDestination=FIN1, createDate=Sun Sep 17 11:15:48 EDT 2017, systemMessageType=Normal]
