NTASData [id=16593869587, subwayLine=YUS, stationId=WIL1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869588, subwayLine=YUS, stationId=WIL1, trainId=121, trainMessage=Delayed, trainDirection=North, timeInt=0.7051095407407407, timeString=00.71, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869589, subwayLine=YUS, stationId=WIL1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=2.400053985185185, timeString=02.40, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869590, subwayLine=YUS, stationId=YKD1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=0.28786666666666666, timeString=00.29, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869591, subwayLine=YUS, stationId=YKD1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=2.015502222222222, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869592, subwayLine=YUS, stationId=YKD1, trainId=121, trainMessage=Delayed, trainDirection=North, timeInt=2.7206117629629625, timeString=02.72, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869593, subwayLine=YUS, stationId=LWW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=0.4872222222222223, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869594, subwayLine=YUS, stationId=LWW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=2.306191111111111, timeString=02.31, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869595, subwayLine=YUS, stationId=LWW1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=4.033826666666666, timeString=04.03, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869596, subwayLine=YUS, stationId=GCN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=1.845711111111111, timeString=01.85, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869597, subwayLine=YUS, stationId=GCN1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=3.6646800000000006, timeString=03.66, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869598, subwayLine=YUS, stationId=GCN1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=5.392315555555555, timeString=05.39, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869599, subwayLine=YUS, stationId=EGW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=3.6659155555555554, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869600, subwayLine=YUS, stationId=EGW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=5.484884444444444, timeString=05.48, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869601, subwayLine=YUS, stationId=EGW1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=7.21252, timeString=07.21, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869602, subwayLine=YUS, stationId=SCW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=8.36535111111111, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869603, subwayLine=YUS, stationId=SCW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=10.18432, timeString=10.18, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869604, subwayLine=YUS, stationId=SCW1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=11.911955555555556, timeString=11.91, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869605, subwayLine=YUS, stationId=DUP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=10.989888888888888, timeString=10.99, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869606, subwayLine=YUS, stationId=DUP1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=12.808857777777778, timeString=12.81, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869607, subwayLine=YUS, stationId=DUP1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=14.536493333333333, timeString=14.54, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869608, subwayLine=YUS, stationId=SPA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=11.99052, timeString=11.99, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869609, subwayLine=YUS, stationId=SPA1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=13.809488888888888, timeString=13.81, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869610, subwayLine=YUS, stationId=SPA1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=15.537124444444446, timeString=15.54, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869611, subwayLine=YUS, stationId=SGU1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=13.120126666666666, timeString=13.12, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869612, subwayLine=YUS, stationId=SGU1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=14.939095555555555, timeString=14.94, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869613, subwayLine=YUS, stationId=SGU1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=16.666731111111112, timeString=16.67, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869614, subwayLine=YUS, stationId=MUS1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=14.322123333333332, timeString=14.32, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869615, subwayLine=YUS, stationId=MUS1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=16.141092222222223, timeString=16.14, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869616, subwayLine=YUS, stationId=MUS1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=17.868727777777778, timeString=17.87, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869617, subwayLine=YUS, stationId=QPK1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=15.584656666666666, timeString=15.58, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869618, subwayLine=YUS, stationId=QPK1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=17.403625555555553, timeString=17.40, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869619, subwayLine=YUS, stationId=QPK1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=19.13126111111111, timeString=19.13, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869620, subwayLine=YUS, stationId=STP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=16.735429999999997, timeString=16.74, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869621, subwayLine=YUS, stationId=STP1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=18.55439888888889, timeString=18.55, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869622, subwayLine=YUS, stationId=STP1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=20.28203444444444, timeString=20.28, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869623, subwayLine=YUS, stationId=OSG1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=17.486576666666668, timeString=17.49, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869624, subwayLine=YUS, stationId=OSG1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=19.305545555555558, timeString=19.31, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869625, subwayLine=YUS, stationId=OSG1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=21.03318111111111, timeString=21.03, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869626, subwayLine=YUS, stationId=STA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=18.320414444444445, timeString=18.32, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869627, subwayLine=YUS, stationId=STA1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=20.139383333333335, timeString=20.14, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869628, subwayLine=YUS, stationId=STA1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=21.867018888888886, timeString=21.87, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869629, subwayLine=YUS, stationId=UNI1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=0.6519333333333333, timeString=00.65, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869630, subwayLine=YUS, stationId=UNI1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=19.227347777777776, timeString=19.23, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869631, subwayLine=YUS, stationId=UNI1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=21.04631666666667, timeString=21.05, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869632, subwayLine=YUS, stationId=KNG1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=1.4468244444444442, timeString=01.45, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869633, subwayLine=YUS, stationId=KNG1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=20.022238888888886, timeString=20.02, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869634, subwayLine=YUS, stationId=KNG1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=21.841207777777782, timeString=21.84, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869635, subwayLine=YUS, stationId=QUN1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=2.2724777777777776, timeString=02.27, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869636, subwayLine=YUS, stationId=QUN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=20.84789222222222, timeString=20.85, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869637, subwayLine=YUS, stationId=QUN1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=22.666861111111114, timeString=22.67, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869638, subwayLine=YUS, stationId=DUN1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=3.027011111111111, timeString=03.03, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869639, subwayLine=YUS, stationId=DUN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=21.602425555555552, timeString=21.60, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869640, subwayLine=YUS, stationId=DUN1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=23.421394444444445, timeString=23.42, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869641, subwayLine=YUS, stationId=COL1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=3.893868888888889, timeString=03.89, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869642, subwayLine=YUS, stationId=COL1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=22.46928333333333, timeString=22.47, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869643, subwayLine=YUS, stationId=COL1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=24.288252222222226, timeString=24.29, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869644, subwayLine=YUS, stationId=WEL1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=4.8115266666666665, timeString=04.81, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869645, subwayLine=YUS, stationId=WEL1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=23.386941111111106, timeString=23.39, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869646, subwayLine=YUS, stationId=WEL1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=25.205910000000003, timeString=25.21, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869647, subwayLine=YUS, stationId=BLO1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=5.765873333333333, timeString=05.77, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869648, subwayLine=YUS, stationId=BLO1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=24.341287777777776, timeString=24.34, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869649, subwayLine=YUS, stationId=BLO1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=26.160256666666665, timeString=26.16, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869650, subwayLine=YUS, stationId=ROS1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=1.0735733333333333, timeString=01.07, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869651, subwayLine=YUS, stationId=ROS1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=7.094446666666666, timeString=07.09, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593869652, subwayLine=YUS, stationId=ROS1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=25.669861111111107, timeString=25.67, trainDestination=FIN1, createDate=Sun Sep 17 11:14:38 EDT 2017, systemMessageType=Normal]
