NTASData [id=16594781031, subwayLine=YUS, stationId=UNI2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=7.902884444444444, timeString=07.90, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781032, subwayLine=YUS, stationId=UNI2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=14.103484444444444, timeString=14.10, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781033, subwayLine=YUS, stationId=STA2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=2.623151111111111, timeString=02.62, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781034, subwayLine=YUS, stationId=STA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=8.829573333333332, timeString=08.83, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781035, subwayLine=YUS, stationId=STA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=15.03017333333333, timeString=15.03, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781036, subwayLine=YUS, stationId=OSG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.3184177777777775, timeString=03.32, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781037, subwayLine=YUS, stationId=OSG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=9.52484, timeString=09.52, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781038, subwayLine=YUS, stationId=OSG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=15.725439999999997, timeString=15.73, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781039, subwayLine=YUS, stationId=STP2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=4.072386666666667, timeString=04.07, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781040, subwayLine=YUS, stationId=STP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=10.27880888888889, timeString=10.28, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781041, subwayLine=YUS, stationId=STP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=16.479408888888887, timeString=16.48, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781042, subwayLine=YUS, stationId=QPK2, trainId=16, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781043, subwayLine=YUS, stationId=QPK2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.214693333333333, timeString=05.21, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781044, subwayLine=YUS, stationId=QPK2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=11.421115555555556, timeString=11.42, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781045, subwayLine=YUS, stationId=MUS2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=1.2625333333333333, timeString=01.26, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781046, subwayLine=YUS, stationId=MUS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=6.477226666666665, timeString=06.48, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16594781047, subwayLine=YUS, stationId=MUS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=12.68364888888889, timeString=12.68, trainDestination=SHW2, createDate=Sun Sep 17 12:23:23 EDT 2017, systemMessageType=Normal]
