NTASData [id=16593006344, subwayLine=BD, stationId=KEN2, trainId=207, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:11:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16593006345, subwayLine=BD, stationId=KEN2, trainId=296, trainMessage=Delayed, trainDirection=East, timeInt=0.2914756160990713, timeString=00.29, trainDestination=KEN1, createDate=Sun Sep 17 10:11:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16593006346, subwayLine=BD, stationId=KEN2, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=4.041880138699691, timeString=04.04, trainDestination=KEN1, createDate=Sun Sep 17 10:11:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16593006347, subwayLine=BD, stationId=VPK2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=3.6931002352941182, timeString=03.69, trainDestination=KIP2, createDate=Sun Sep 17 10:11:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16593006348, subwayLine=BD, stationId=MST2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=5.932603021671828, timeString=05.93, trainDestination=KIP2, createDate=Sun Sep 17 10:11:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16593006349, subwayLine=BD, stationId=WDB2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=7.666496396284831, timeString=07.67, trainDestination=KIP2, createDate=Sun Sep 17 10:11:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16593006350, subwayLine=BD, stationId=COX2, trainId=204, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:11:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16593006351, subwayLine=BD, stationId=COX2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=8.973764136222913, timeString=08.97, trainDestination=KIP2, createDate=Sun Sep 17 10:11:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16593006352, subwayLine=BD, stationId=GWD2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=0.9429232198142415, timeString=00.94, trainDestination=KIP2, createDate=Sun Sep 17 10:11:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16593006353, subwayLine=BD, stationId=GWD2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=9.916687356037151, timeString=09.92, trainDestination=KIP2, createDate=Sun Sep 17 10:11:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16593006354, subwayLine=BD, stationId=DON2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=2.134404705882353, timeString=02.13, trainDestination=KIP2, createDate=Sun Sep 17 10:11:39 EDT 2017, systemMessageType=Normal]
