NTASData [id=16594518453, subwayLine=YUS, stationId=EGL1, trainId=119, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518454, subwayLine=YUS, stationId=EGL1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=0.8415866666666666, timeString=00.84, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518455, subwayLine=YUS, stationId=EGL1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=5.400217777777778, timeString=05.40, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518456, subwayLine=YUS, stationId=LAW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=4.291906666666667, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518457, subwayLine=YUS, stationId=LAW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=5.133493333333333, timeString=05.13, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518458, subwayLine=YUS, stationId=LAW1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=9.692124444444444, timeString=09.69, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518459, subwayLine=YUS, stationId=YKM1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=7.806573333333333, timeString=07.81, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518460, subwayLine=YUS, stationId=YKM1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=8.648159999999999, timeString=08.65, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518461, subwayLine=YUS, stationId=YKM1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=13.20679111111111, timeString=13.21, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518462, subwayLine=YUS, stationId=SHP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=2.823351111111111, timeString=02.82, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518463, subwayLine=YUS, stationId=SHP1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=11.392924444444445, timeString=11.39, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518464, subwayLine=YUS, stationId=SHP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=12.234511111111113, timeString=12.23, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518465, subwayLine=YUS, stationId=NYC1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=0.7992533333333333, timeString=00.80, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518466, subwayLine=YUS, stationId=NYC1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=4.284568888888889, timeString=04.28, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518467, subwayLine=YUS, stationId=NYC1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=12.854142222222222, timeString=12.85, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518468, subwayLine=YUS, stationId=FIN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=3.406293333333333, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518469, subwayLine=YUS, stationId=FIN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=6.8916088888888885, timeString=06.89, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518470, subwayLine=YUS, stationId=FIN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=15.461182222222224, timeString=15.46, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518471, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518472, subwayLine=YUS, stationId=FIN2, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=3.406293333333333, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518473, subwayLine=YUS, stationId=FIN2, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=6.8916088888888885, timeString=06.89, trainDestination=FIN1, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518474, subwayLine=YUS, stationId=YKM2, trainId=102, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518475, subwayLine=YUS, stationId=LAW2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.512973333333333, timeString=03.51, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518476, subwayLine=YUS, stationId=EGL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=7.795848888888889, timeString=07.80, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518477, subwayLine=YUS, stationId=DAV2, trainId=16, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518478, subwayLine=YUS, stationId=DAV2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=9.405515555555555, timeString=09.41, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518479, subwayLine=YUS, stationId=STC2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.039208888888889, timeString=02.04, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518480, subwayLine=YUS, stationId=STC2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=11.444724444444443, timeString=11.44, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518481, subwayLine=YUS, stationId=SUM2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=3.4434177777777775, timeString=03.44, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518482, subwayLine=YUS, stationId=SUM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=12.848933333333331, timeString=12.85, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518483, subwayLine=YUS, stationId=ROS2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=4.462111111111111, timeString=04.46, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518484, subwayLine=YUS, stationId=ROS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=13.867626666666665, timeString=13.87, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594518485, subwayLine=YUS, stationId=BLO2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.7732888888888889, timeString=00.77, trainDestination=SHW2, createDate=Sun Sep 17 12:03:12 EDT 2017, systemMessageType=Normal]
