NTASData [id=16593673308, subwayLine=BD, stationId=BRD2, trainId=212, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673309, subwayLine=BD, stationId=BRD2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=3.036092165944273, timeString=03.04, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673310, subwayLine=BD, stationId=BRD2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=8.794269503405575, timeString=08.79, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673311, subwayLine=BD, stationId=CFK2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=1.3638869349845204, timeString=01.36, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673312, subwayLine=BD, stationId=CFK2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=4.399979100928793, timeString=04.40, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673313, subwayLine=BD, stationId=CFK2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=10.158156438390094, timeString=10.16, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673314, subwayLine=BD, stationId=SHE2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=2.326626873065016, timeString=02.33, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673315, subwayLine=BD, stationId=SHE2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=5.3627190390092885, timeString=05.36, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673316, subwayLine=BD, stationId=SHE2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=11.120896376470588, timeString=11.12, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673317, subwayLine=BD, stationId=YNG2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=3.6840026006191957, timeString=03.68, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673318, subwayLine=BD, stationId=YNG2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=6.720094766563468, timeString=06.72, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673319, subwayLine=BD, stationId=YNG2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=12.478272104024768, timeString=12.48, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673320, subwayLine=BD, stationId=BAU2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=4.474478637770899, timeString=04.47, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673321, subwayLine=BD, stationId=BAU2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=7.51057080371517, timeString=07.51, trainDestination=KIP2, createDate=Sun Sep 17 10:59:47 EDT 2017, systemMessageType=Normal]
