NTASData [id=16593557855, subwayLine=BD, stationId=VPK2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=2.685455108359134, timeString=02.69, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557856, subwayLine=BD, stationId=VPK2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=8.859978471826627, timeString=08.86, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557857, subwayLine=BD, stationId=MST2, trainId=212, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557858, subwayLine=BD, stationId=MST2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=4.924957894736843, timeString=04.92, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557859, subwayLine=BD, stationId=MST2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=11.099481258204337, timeString=11.10, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557860, subwayLine=BD, stationId=WDB2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=1.7338933746130034, timeString=01.73, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557861, subwayLine=BD, stationId=WDB2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=6.658851269349846, timeString=06.66, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557862, subwayLine=BD, stationId=WDB2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=12.83337463281734, timeString=12.83, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557863, subwayLine=BD, stationId=COX2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=3.041161114551084, timeString=03.04, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557864, subwayLine=BD, stationId=COX2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=7.966119009287927, timeString=07.97, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557865, subwayLine=BD, stationId=COX2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=14.14064237275542, timeString=14.14, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557866, subwayLine=BD, stationId=GWD2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=3.9840843343653254, timeString=03.98, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557867, subwayLine=BD, stationId=GWD2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=8.909042229102168, timeString=08.91, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557868, subwayLine=BD, stationId=GWD2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=15.083565592569663, timeString=15.08, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557869, subwayLine=BD, stationId=DON2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=5.175565820433437, timeString=05.18, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557870, subwayLine=BD, stationId=DON2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=10.10052371517028, timeString=10.10, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557871, subwayLine=BD, stationId=DON2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=16.275047078637773, timeString=16.28, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557872, subwayLine=BD, stationId=PAP2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=6.1060328173374625, timeString=06.11, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557873, subwayLine=BD, stationId=PAP2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=11.030990712074306, timeString=11.03, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557874, subwayLine=BD, stationId=PAP2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=17.2055140755418, timeString=17.21, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557875, subwayLine=BD, stationId=CHE2, trainId=211, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557876, subwayLine=BD, stationId=CHE2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=7.133601733746131, timeString=07.13, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557877, subwayLine=BD, stationId=CHE2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=12.058559628482975, timeString=12.06, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557878, subwayLine=BD, stationId=BRD2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=1.0780562526315791, timeString=01.08, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557879, subwayLine=BD, stationId=BRD2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=8.21165798637771, timeString=08.21, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557880, subwayLine=BD, stationId=BRD2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=13.136615881114553, timeString=13.14, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557881, subwayLine=BD, stationId=CFK2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=2.441943187616099, timeString=02.44, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557882, subwayLine=BD, stationId=CFK2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=9.575544921362232, timeString=09.58, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557883, subwayLine=BD, stationId=CFK2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=14.500502816099072, timeString=14.50, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557884, subwayLine=BD, stationId=SHE2, trainId=210, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557885, subwayLine=BD, stationId=SHE2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=3.404683125696595, timeString=03.40, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557886, subwayLine=BD, stationId=SHE2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=10.538284859442726, timeString=10.54, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557887, subwayLine=BD, stationId=YNG2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=1.3573757275541798, timeString=01.36, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557888, subwayLine=BD, stationId=YNG2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=4.762058853250775, timeString=04.76, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557889, subwayLine=BD, stationId=YNG2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=11.895660586996904, timeString=11.90, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557890, subwayLine=BD, stationId=BAU2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=2.147851764705883, timeString=02.15, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557891, subwayLine=BD, stationId=BAU2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=5.552534890402477, timeString=05.55, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557892, subwayLine=BD, stationId=BAU2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=12.686136624148608, timeString=12.69, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593557893, subwayLine=BD, stationId=SGL2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=3.275919752321982, timeString=03.28, trainDestination=KIP2, createDate=Sun Sep 17 10:51:09 EDT 2017, systemMessageType=Normal]
