NTASData [id=16592999623, subwayLine=YUS, stationId=STP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=4.510395555555555, timeString=04.51, trainDestination=MUS2, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999624, subwayLine=YUS, stationId=STP2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=6.623288888888888, timeString=06.62, trainDestination=MUS2, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999625, subwayLine=YUS, stationId=QPK2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=2.095524444444444, timeString=02.10, trainDestination=MUS2, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999626, subwayLine=YUS, stationId=QPK2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=5.6527022222222225, timeString=05.65, trainDestination=MUS2, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999627, subwayLine=YUS, stationId=QPK2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=7.765595555555555, timeString=07.77, trainDestination=MUS2, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999628, subwayLine=YUS, stationId=MUS2, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999629, subwayLine=YUS, stationId=MUS2, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=0.9469966666666666, timeString=00.95, trainDestination=MUS1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999630, subwayLine=YUS, stationId=MUS2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=3.358057777777778, timeString=03.36, trainDestination=MUS2, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999631, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999632, subwayLine=YUS, stationId=MUS1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=0.9469966666666666, timeString=00.95, trainDestination=MUS1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999633, subwayLine=YUS, stationId=MUS1, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=3.358057777777778, timeString=03.36, trainDestination=MUS2, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999634, subwayLine=YUS, stationId=QPK1, trainId=102, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999635, subwayLine=YUS, stationId=STP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.1507733333333334, timeString=01.15, trainDestination=FIN1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999636, subwayLine=YUS, stationId=OSG1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.90192, timeString=01.90, trainDestination=FIN1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999637, subwayLine=YUS, stationId=STA1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.7357577777777777, timeString=02.74, trainDestination=FIN1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999638, subwayLine=YUS, stationId=UNI1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=3.6426911111111115, timeString=03.64, trainDestination=FIN1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999639, subwayLine=YUS, stationId=KNG1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=4.437582222222223, timeString=04.44, trainDestination=FIN1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999640, subwayLine=YUS, stationId=QUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=5.263235555555556, timeString=05.26, trainDestination=FIN1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999641, subwayLine=YUS, stationId=DUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=6.017768888888888, timeString=06.02, trainDestination=FIN1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999642, subwayLine=YUS, stationId=COL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=6.884626666666668, timeString=06.88, trainDestination=FIN1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999643, subwayLine=YUS, stationId=WEL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=7.802284444444444, timeString=07.80, trainDestination=FIN1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592999644, subwayLine=YUS, stationId=BLO1, trainId=101, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:11:13 EDT 2017, systemMessageType=Normal]
