NTASData [id=16593800345, subwayLine=YUS, stationId=DAV1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=1.7774355555555557, timeString=01.78, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800346, subwayLine=YUS, stationId=DAV1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=5.543586666666666, timeString=05.54, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800347, subwayLine=YUS, stationId=DAV1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=9.291982222222222, timeString=09.29, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800348, subwayLine=YUS, stationId=EGL1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=3.391617777777778, timeString=03.39, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800349, subwayLine=YUS, stationId=EGL1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=7.15776888888889, timeString=07.16, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800350, subwayLine=YUS, stationId=EGL1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=10.906164444444444, timeString=10.91, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800351, subwayLine=YUS, stationId=LAW1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=3.576884444444444, timeString=03.58, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800352, subwayLine=YUS, stationId=LAW1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=7.683524444444444, timeString=07.68, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800353, subwayLine=YUS, stationId=LAW1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=11.449675555555554, timeString=11.45, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800354, subwayLine=YUS, stationId=YKM1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=7.0915511111111105, timeString=07.09, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800355, subwayLine=YUS, stationId=YKM1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=11.198191111111113, timeString=11.20, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800356, subwayLine=YUS, stationId=YKM1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=14.964342222222221, timeString=14.96, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800357, subwayLine=YUS, stationId=SHP1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=2.823351111111111, timeString=02.82, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800358, subwayLine=YUS, stationId=SHP1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=10.677902222222222, timeString=10.68, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800359, subwayLine=YUS, stationId=SHP1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=14.784542222222221, timeString=14.78, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800360, subwayLine=YUS, stationId=NYC1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=4.284568888888889, timeString=04.28, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800361, subwayLine=YUS, stationId=NYC1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=12.13912, timeString=12.14, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800362, subwayLine=YUS, stationId=NYC1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=16.24576, timeString=16.25, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800363, subwayLine=YUS, stationId=FIN1, trainId=109, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800364, subwayLine=YUS, stationId=FIN1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=2.0528844444444445, timeString=02.05, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800365, subwayLine=YUS, stationId=FIN1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=6.8916088888888885, timeString=06.89, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800366, subwayLine=YUS, stationId=FIN2, trainId=108, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800367, subwayLine=YUS, stationId=FIN2, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=2.0528844444444445, timeString=02.05, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800368, subwayLine=YUS, stationId=FIN2, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=6.8916088888888885, timeString=06.89, trainDestination=FIN1, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800369, subwayLine=YUS, stationId=SHP2, trainId=107, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800370, subwayLine=YUS, stationId=YKM2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=3.5807066666666665, timeString=03.58, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800371, subwayLine=YUS, stationId=LAW2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=7.093679999999999, timeString=07.09, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800372, subwayLine=YUS, stationId=EGL2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=2.4101777777777778, timeString=02.41, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800373, subwayLine=YUS, stationId=EGL2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=11.376555555555555, timeString=11.38, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800374, subwayLine=YUS, stationId=DAV2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=4.019844444444445, timeString=04.02, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800375, subwayLine=YUS, stationId=DAV2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=12.986222222222223, timeString=12.99, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800376, subwayLine=YUS, stationId=STC2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=0.3770488888888889, timeString=00.38, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800377, subwayLine=YUS, stationId=STC2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=6.059053333333333, timeString=06.06, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800378, subwayLine=YUS, stationId=STC2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=15.02543111111111, timeString=15.03, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800379, subwayLine=YUS, stationId=SUM2, trainId=104, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800380, subwayLine=YUS, stationId=SUM2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=1.7812577777777778, timeString=01.78, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800381, subwayLine=YUS, stationId=SUM2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=7.463262222222222, timeString=07.46, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800382, subwayLine=YUS, stationId=ROS2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=1.0186933333333332, timeString=01.02, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800383, subwayLine=YUS, stationId=ROS2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=2.7999511111111115, timeString=02.80, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800384, subwayLine=YUS, stationId=ROS2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=8.481955555555556, timeString=08.48, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800385, subwayLine=YUS, stationId=BLO2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=2.3467022222222225, timeString=02.35, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800386, subwayLine=YUS, stationId=BLO2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=4.12796, timeString=04.13, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800387, subwayLine=YUS, stationId=BLO2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=9.809964444444445, timeString=09.81, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800388, subwayLine=YUS, stationId=WEL2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=3.301048888888889, timeString=03.30, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593800389, subwayLine=YUS, stationId=WEL2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=5.082306666666668, timeString=05.08, trainDestination=SHW2, createDate=Sun Sep 17 11:09:35 EDT 2017, systemMessageType=Normal]
