NTASData [id=16594708522, subwayLine=YUS, stationId=UNI2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.140186666666667, timeString=05.14, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708523, subwayLine=YUS, stationId=UNI2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=14.103484444444444, timeString=14.10, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708524, subwayLine=YUS, stationId=STA2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=0.9266888888888889, timeString=00.93, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708525, subwayLine=YUS, stationId=STA2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=6.066875555555555, timeString=06.07, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708526, subwayLine=YUS, stationId=STA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=15.03017333333333, timeString=15.03, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708527, subwayLine=YUS, stationId=OSG2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=1.6219555555555556, timeString=01.62, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708528, subwayLine=YUS, stationId=OSG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=6.762142222222222, timeString=06.76, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708529, subwayLine=YUS, stationId=OSG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=15.725439999999997, timeString=15.73, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708530, subwayLine=YUS, stationId=STP2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.3759244444444447, timeString=02.38, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708531, subwayLine=YUS, stationId=STP2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=7.516111111111112, timeString=07.52, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708532, subwayLine=YUS, stationId=STP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=16.479408888888887, timeString=16.48, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708533, subwayLine=YUS, stationId=QPK2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=3.5182311111111115, timeString=03.52, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708534, subwayLine=YUS, stationId=QPK2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=8.658417777777778, timeString=08.66, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708535, subwayLine=YUS, stationId=QPK2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=17.62171555555555, timeString=17.62, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708536, subwayLine=YUS, stationId=MUS2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=1.0075333333333334, timeString=01.01, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708537, subwayLine=YUS, stationId=MUS2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=4.780764444444444, timeString=04.78, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708538, subwayLine=YUS, stationId=MUS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=9.920951111111112, timeString=09.92, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708539, subwayLine=YUS, stationId=SGU2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=2.1670555555555557, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708540, subwayLine=YUS, stationId=SGU2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=5.940286666666665, timeString=05.94, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708541, subwayLine=YUS, stationId=SGU2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=11.080473333333334, timeString=11.08, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708542, subwayLine=YUS, stationId=SPA2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=0.9127066666666667, timeString=00.91, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708543, subwayLine=YUS, stationId=SPA2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=3.3347622222222224, timeString=03.33, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708544, subwayLine=YUS, stationId=SPA2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=7.107993333333333, timeString=07.11, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708545, subwayLine=YUS, stationId=DUP2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=1.9105155555555555, timeString=01.91, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708546, subwayLine=YUS, stationId=DUP2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=4.332571111111111, timeString=04.33, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708547, subwayLine=YUS, stationId=DUP2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=8.105802222222222, timeString=08.11, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708548, subwayLine=YUS, stationId=SCW2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=4.535053333333333, timeString=04.54, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708549, subwayLine=YUS, stationId=SCW2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=6.9571088888888895, timeString=06.96, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708550, subwayLine=YUS, stationId=SCW2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=10.73034, timeString=10.73, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708551, subwayLine=YUS, stationId=EGW2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=4.26337037037037, timeString=04.26, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594708552, subwayLine=YUS, stationId=EGW2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=9.348224444444446, timeString=09.35, trainDestination=SHW2, createDate=Sun Sep 17 12:17:44 EDT 2017, systemMessageType=Normal]
