NTASData [id=16594665728, subwayLine=SHEP, stationId=YIE2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=1.461744966442953, timeString=01.46, trainDestination=YIE2, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665729, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=10.564328859060403, timeString=10.56, trainDestination=YIE2, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665730, subwayLine=SHEP, stationId=YIE1, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=1.461744966442953, timeString=01.46, trainDestination=YIE2, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665731, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=10.564328859060403, timeString=10.56, trainDestination=YIE2, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665732, subwayLine=SHEP, stationId=BYV1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=0.8456375838926175, timeString=00.85, trainDestination=DML1, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665733, subwayLine=SHEP, stationId=BSS1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=2.6328523489932882, timeString=02.63, trainDestination=DML1, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665734, subwayLine=SHEP, stationId=LES1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=4.220738255033557, timeString=04.22, trainDestination=DML1, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665735, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=0.5516778523489932, timeString=00.55, trainDestination=DML1, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665736, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=7.725402684563758, timeString=07.73, trainDestination=DML1, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665737, subwayLine=SHEP, stationId=DML2, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=0.5516778523489932, timeString=00.55, trainDestination=DML1, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665738, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=7.725402684563758, timeString=07.73, trainDestination=DML1, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665739, subwayLine=SHEP, stationId=LES2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=3.036241610738255, timeString=03.04, trainDestination=YIE2, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665740, subwayLine=SHEP, stationId=BSS2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=4.632181208053691, timeString=04.63, trainDestination=YIE2, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
NTASData [id=16594665741, subwayLine=SHEP, stationId=BYV2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=6.423422818791946, timeString=06.42, trainDestination=YIE2, createDate=Sun Sep 17 12:14:25 EDT 2017, systemMessageType=Normal]
