NTASData [id=16593728807, subwayLine=YUS, stationId=QUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=0.34600444444444445, timeString=00.35, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728808, subwayLine=YUS, stationId=QUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=3.5075066666666666, timeString=03.51, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728809, subwayLine=YUS, stationId=QUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=6.546782222222223, timeString=06.55, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728810, subwayLine=YUS, stationId=KNG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=1.171657777777778, timeString=01.17, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728811, subwayLine=YUS, stationId=KNG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=4.3331599999999995, timeString=04.33, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728812, subwayLine=YUS, stationId=KNG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=7.372435555555555, timeString=07.37, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728813, subwayLine=YUS, stationId=UNI2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=1.9786844444444445, timeString=01.98, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728814, subwayLine=YUS, stationId=UNI2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=5.140186666666667, timeString=05.14, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728815, subwayLine=YUS, stationId=UNI2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=8.179462222222222, timeString=08.18, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728816, subwayLine=YUS, stationId=STA2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=0.42291, timeString=00.42, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728817, subwayLine=YUS, stationId=STA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=2.9053733333333334, timeString=02.91, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728818, subwayLine=YUS, stationId=STA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=6.066875555555555, timeString=06.07, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728819, subwayLine=YUS, stationId=OSG2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=1.1181766666666668, timeString=01.12, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728820, subwayLine=YUS, stationId=OSG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=3.60064, timeString=03.60, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728821, subwayLine=YUS, stationId=OSG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=6.762142222222222, timeString=06.76, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728822, subwayLine=YUS, stationId=STP2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=1.8721455555555555, timeString=01.87, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728823, subwayLine=YUS, stationId=STP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=4.3546088888888885, timeString=04.35, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728824, subwayLine=YUS, stationId=STP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=7.516111111111112, timeString=07.52, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728825, subwayLine=YUS, stationId=QPK2, trainId=128, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728826, subwayLine=YUS, stationId=QPK2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=3.0144522222222223, timeString=03.01, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728827, subwayLine=YUS, stationId=QPK2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=5.496915555555555, timeString=05.50, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728828, subwayLine=YUS, stationId=MUS2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=1.2625333333333333, timeString=01.26, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728829, subwayLine=YUS, stationId=MUS2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=4.276985555555555, timeString=04.28, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728830, subwayLine=YUS, stationId=MUS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=6.759448888888889, timeString=06.76, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728831, subwayLine=YUS, stationId=SGU2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=2.4220555555555556, timeString=02.42, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728832, subwayLine=YUS, stationId=SGU2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=5.436507777777777, timeString=05.44, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728833, subwayLine=YUS, stationId=SGU2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=7.9189711111111105, timeString=07.92, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728834, subwayLine=YUS, stationId=SPA2, trainId=126, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728835, subwayLine=YUS, stationId=SPA2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=3.5897622222222223, timeString=03.59, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728836, subwayLine=YUS, stationId=SPA2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=6.604214444444445, timeString=06.60, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728837, subwayLine=YUS, stationId=DUP2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=0.997808888888889, timeString=01.00, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728838, subwayLine=YUS, stationId=DUP2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=4.587571111111111, timeString=04.59, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728839, subwayLine=YUS, stationId=DUP2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=7.602023333333333, timeString=07.60, trainDestination=SHW2, createDate=Sun Sep 17 11:04:30 EDT 2017, systemMessageType=Normal]
