NTASData [id=16593612802, subwayLine=BD, stationId=VPK1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=1.6476185758513933, timeString=01.65, trainDestination=KEN1, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612803, subwayLine=BD, stationId=VPK1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=6.289973126934985, timeString=06.29, trainDestination=KEN1, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612804, subwayLine=BD, stationId=VPK1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=10.734302043343652, timeString=10.73, trainDestination=KEN1, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612805, subwayLine=BD, stationId=WAR1, trainId=217, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612806, subwayLine=BD, stationId=WAR1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=5.589943653250775, timeString=05.59, trainDestination=KEN1, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612807, subwayLine=BD, stationId=WAR1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=10.232298204334366, timeString=10.23, trainDestination=KEN1, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612808, subwayLine=BD, stationId=KEN1, trainId=216, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612809, subwayLine=BD, stationId=KEN1, trainId=296, trainMessage=Delayed, trainDirection=East, timeInt=0.2914756160990713, timeString=00.29, trainDestination=KEN1, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612810, subwayLine=BD, stationId=KEN1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=5.081407029102167, timeString=05.08, trainDestination=KEN1, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612811, subwayLine=BD, stationId=KEN2, trainId=215, trainMessage=Delayed, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612812, subwayLine=BD, stationId=KEN2, trainId=296, trainMessage=Delayed, trainDirection=East, timeInt=0.2914756160990713, timeString=00.29, trainDestination=KEN1, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612813, subwayLine=BD, stationId=KEN2, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=5.081407029102167, timeString=05.08, trainDestination=KEN1, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612814, subwayLine=BD, stationId=WAR2, trainId=214, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612815, subwayLine=BD, stationId=VPK2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=3.948100235294118, timeString=03.95, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612816, subwayLine=BD, stationId=MST2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=6.187603021671828, timeString=06.19, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612817, subwayLine=BD, stationId=WDB2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=0.7394466873065016, timeString=00.74, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612818, subwayLine=BD, stationId=WDB2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=7.921496396284831, timeString=07.92, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612819, subwayLine=BD, stationId=COX2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=2.0467144272445825, timeString=02.05, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612820, subwayLine=BD, stationId=COX2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=9.228764136222912, timeString=09.23, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612821, subwayLine=BD, stationId=GWD2, trainId=212, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612822, subwayLine=BD, stationId=GWD2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=2.9896376470588235, timeString=02.99, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612823, subwayLine=BD, stationId=GWD2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=10.171687356037154, timeString=10.17, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612824, subwayLine=BD, stationId=DON2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=1.1914814860681116, timeString=01.19, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612825, subwayLine=BD, stationId=DON2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=4.181119133126935, timeString=04.18, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612826, subwayLine=BD, stationId=DON2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=11.363168842105264, timeString=11.36, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612827, subwayLine=BD, stationId=PAP2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=2.1219484829721367, timeString=02.12, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612828, subwayLine=BD, stationId=PAP2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=5.111586130030961, timeString=05.11, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612829, subwayLine=BD, stationId=PAP2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=12.29363583900929, timeString=12.29, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612830, subwayLine=BD, stationId=CHE2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=3.149517399380805, timeString=03.15, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612831, subwayLine=BD, stationId=CHE2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=6.13915504643963, timeString=06.14, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612832, subwayLine=BD, stationId=CHE2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=13.321204755417957, timeString=13.32, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612833, subwayLine=BD, stationId=BRD2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=4.227573652012384, timeString=04.23, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612834, subwayLine=BD, stationId=BRD2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=7.217211299071209, timeString=07.22, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612835, subwayLine=BD, stationId=BRD2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=14.399261008049537, timeString=14.40, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612836, subwayLine=BD, stationId=CFK2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=5.591460586996904, timeString=05.59, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612837, subwayLine=BD, stationId=CFK2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=8.58109823405573, timeString=08.58, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612838, subwayLine=BD, stationId=CFK2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=15.763147943034056, timeString=15.76, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612839, subwayLine=BD, stationId=SHE2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=0.7077399380804954, timeString=00.71, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612840, subwayLine=BD, stationId=SHE2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=6.5542005250774, timeString=06.55, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612841, subwayLine=BD, stationId=SHE2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=9.543838172136224, timeString=09.54, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612842, subwayLine=BD, stationId=YNG2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=2.0651156656346754, timeString=02.07, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612843, subwayLine=BD, stationId=YNG2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=7.91157625263158, timeString=07.91, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612844, subwayLine=BD, stationId=YNG2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=10.901213899690406, timeString=10.90, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612845, subwayLine=BD, stationId=BAU2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=2.855591702786378, timeString=02.86, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612846, subwayLine=BD, stationId=BAU2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=8.702052289783282, timeString=08.70, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612847, subwayLine=BD, stationId=BAU2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=11.691689936842108, timeString=11.69, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612848, subwayLine=BD, stationId=SGL2, trainId=210, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612849, subwayLine=BD, stationId=SGL2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=3.9836596904024772, timeString=03.98, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612850, subwayLine=BD, stationId=SGL2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=9.83012027739938, timeString=09.83, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612851, subwayLine=BD, stationId=BSP2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=0.8057632198142415, timeString=00.81, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612852, subwayLine=BD, stationId=BSP2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=4.789422910216719, timeString=04.79, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16593612853, subwayLine=BD, stationId=BSP2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=10.635883497213623, timeString=10.64, trainDestination=KIP2, createDate=Sun Sep 17 10:55:15 EDT 2017, systemMessageType=Normal]
