NTASData [id=16593743272, subwayLine=YUS, stationId=SPA1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=0.5215466666666667, timeString=00.52, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743273, subwayLine=YUS, stationId=SPA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=13.809488888888888, timeString=13.81, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743274, subwayLine=YUS, stationId=SPA1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=17.446752503703703, timeString=17.45, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743275, subwayLine=YUS, stationId=SGU1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=1.6511533333333333, timeString=01.65, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743276, subwayLine=YUS, stationId=SGU1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=14.939095555555555, timeString=14.94, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743277, subwayLine=YUS, stationId=SGU1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=18.57635917037037, timeString=18.58, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743278, subwayLine=YUS, stationId=MUS1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=2.8531500000000003, timeString=02.85, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743279, subwayLine=YUS, stationId=MUS1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=16.141092222222223, timeString=16.14, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743280, subwayLine=YUS, stationId=MUS1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=19.778355837037033, timeString=19.78, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743281, subwayLine=YUS, stationId=QPK1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=4.115683333333333, timeString=04.12, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743282, subwayLine=YUS, stationId=QPK1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=17.403625555555553, timeString=17.40, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743283, subwayLine=YUS, stationId=QPK1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=21.04088917037037, timeString=21.04, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743284, subwayLine=YUS, stationId=STP1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=5.266456666666667, timeString=05.27, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743285, subwayLine=YUS, stationId=STP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=18.55439888888889, timeString=18.55, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743286, subwayLine=YUS, stationId=STP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=22.1916625037037, timeString=22.19, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743287, subwayLine=YUS, stationId=OSG1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=6.017603333333334, timeString=06.02, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743288, subwayLine=YUS, stationId=OSG1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=19.305545555555558, timeString=19.31, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743289, subwayLine=YUS, stationId=OSG1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=22.942809170370367, timeString=22.94, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743290, subwayLine=YUS, stationId=STA1, trainId=117, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593743291, subwayLine=YUS, stationId=STA1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=6.851441111111111, timeString=06.85, trainDestination=FIN1, createDate=Sun Sep 17 11:05:32 EDT 2017, systemMessageType=Normal]
