NTASData [id=16594093531, subwayLine=BD, stationId=CHE2, trainId=219, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093532, subwayLine=BD, stationId=CHE2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=4.318917399380806, timeString=04.32, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093533, subwayLine=BD, stationId=CHE2, trainId=221, trainMessage=Arriving, trainDirection=West, timeInt=10.025357647058826, timeString=10.03, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093534, subwayLine=BD, stationId=BRD2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=1.0780562526315791, timeString=01.08, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093535, subwayLine=BD, stationId=BRD2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=5.3969736520123845, timeString=05.40, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093536, subwayLine=BD, stationId=BRD2, trainId=221, trainMessage=Arriving, trainDirection=West, timeInt=11.103413899690404, timeString=11.10, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093537, subwayLine=BD, stationId=CFK2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=2.441943187616099, timeString=02.44, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093538, subwayLine=BD, stationId=CFK2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=6.760860586996905, timeString=06.76, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093539, subwayLine=BD, stationId=CFK2, trainId=221, trainMessage=Arriving, trainDirection=West, timeInt=12.467300834674925, timeString=12.47, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093540, subwayLine=BD, stationId=SHE2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=0.7077399380804954, timeString=00.71, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093541, subwayLine=BD, stationId=SHE2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=3.404683125696595, timeString=03.40, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093542, subwayLine=BD, stationId=SHE2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=7.7236005250774, timeString=07.72, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093543, subwayLine=BD, stationId=YNG2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=2.0651156656346754, timeString=02.07, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093544, subwayLine=BD, stationId=YNG2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=4.762058853250775, timeString=04.76, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594093545, subwayLine=BD, stationId=YNG2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=9.08097625263158, timeString=09.08, trainDestination=KIP2, createDate=Sun Sep 17 11:30:57 EDT 2017, systemMessageType=Normal]
