NTASData [id=16594427973, subwayLine=BD, stationId=OSS1, trainId=213, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427974, subwayLine=BD, stationId=OSS1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=5.487962229102168, timeString=05.49, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427975, subwayLine=BD, stationId=OSS1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=8.33728465634675, timeString=08.34, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427976, subwayLine=BD, stationId=CHR1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=1.2334759430340558, timeString=01.23, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427977, subwayLine=BD, stationId=CHR1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=6.721438172136223, timeString=06.72, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427978, subwayLine=BD, stationId=CHR1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=9.570760599380806, timeString=09.57, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427979, subwayLine=BD, stationId=BAT1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=2.216881887306502, timeString=02.22, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427980, subwayLine=BD, stationId=BAT1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=7.704844116408669, timeString=07.70, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427981, subwayLine=BD, stationId=BAT1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=10.554166543653253, timeString=10.55, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427982, subwayLine=BD, stationId=BSP1, trainId=212, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427983, subwayLine=BD, stationId=BSP1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=3.1510291318885453, timeString=03.15, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427984, subwayLine=BD, stationId=BSP1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=8.638991360990712, timeString=08.64, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427985, subwayLine=BD, stationId=SGL1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=0.9106502786377709, timeString=00.91, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427986, subwayLine=BD, stationId=SGL1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=4.061679410526317, timeString=04.06, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427987, subwayLine=BD, stationId=SGL1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=9.549641639628483, timeString=09.55, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427988, subwayLine=BD, stationId=BAU1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=2.002340433436533, timeString=02.00, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427989, subwayLine=BD, stationId=BAU1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=5.153369565325077, timeString=05.15, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427990, subwayLine=BD, stationId=BAU1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=10.641331794427245, timeString=10.64, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427991, subwayLine=BD, stationId=YNG1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=2.802583281733747, timeString=02.80, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427992, subwayLine=BD, stationId=YNG1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=5.953612413622292, timeString=05.95, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427993, subwayLine=BD, stationId=YNG1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=11.44157464272446, timeString=11.44, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427994, subwayLine=BD, stationId=SHE1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=4.122024148606812, timeString=04.12, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427995, subwayLine=BD, stationId=SHE1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=7.273053280495356, timeString=07.27, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427996, subwayLine=BD, stationId=SHE1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=12.761015509597526, timeString=12.76, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427997, subwayLine=BD, stationId=CFK1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=0.7830434674922602, timeString=00.78, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427998, subwayLine=BD, stationId=CFK1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=5.160067616099072, timeString=05.16, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594427999, subwayLine=BD, stationId=CFK1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=8.311096747987616, timeString=08.31, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594428000, subwayLine=BD, stationId=BRD1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=2.357553808049536, timeString=02.36, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594428001, subwayLine=BD, stationId=BRD1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=6.734577956656349, timeString=06.73, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594428002, subwayLine=BD, stationId=BRD1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=9.88560708854489, timeString=09.89, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594428003, subwayLine=BD, stationId=CHE1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=3.396021919504644, timeString=03.40, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594428004, subwayLine=BD, stationId=CHE1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=7.773046068111455, timeString=07.77, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594428005, subwayLine=BD, stationId=CHE1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=10.924075199999999, timeString=10.92, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594428006, subwayLine=BD, stationId=PAP1, trainId=210, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:56:10 EDT 2017, systemMessageType=Normal]
