NTASData [id=16593503546, subwayLine=YUS, stationId=STC2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=1.4494933333333333, timeString=01.45, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503547, subwayLine=YUS, stationId=STC2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=4.041728888888889, timeString=04.04, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503548, subwayLine=YUS, stationId=STC2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=10.363377777777778, timeString=10.36, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503549, subwayLine=YUS, stationId=SUM2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=2.853702222222222, timeString=02.85, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503550, subwayLine=YUS, stationId=SUM2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=5.445937777777777, timeString=05.45, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503551, subwayLine=YUS, stationId=SUM2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=11.767586666666668, timeString=11.77, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503552, subwayLine=YUS, stationId=ROS2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=3.8723955555555554, timeString=03.87, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503553, subwayLine=YUS, stationId=ROS2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=6.464631111111112, timeString=06.46, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503554, subwayLine=YUS, stationId=ROS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=12.786280000000001, timeString=12.79, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503555, subwayLine=YUS, stationId=BLO2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=5.200404444444445, timeString=05.20, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503556, subwayLine=YUS, stationId=BLO2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=7.7926400000000005, timeString=07.79, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503557, subwayLine=YUS, stationId=BLO2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=14.11428888888889, timeString=14.11, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503558, subwayLine=YUS, stationId=WEL2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=6.154751111111111, timeString=06.15, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503559, subwayLine=YUS, stationId=WEL2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=8.746986666666666, timeString=08.75, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503560, subwayLine=YUS, stationId=WEL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=15.068635555555558, timeString=15.07, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503561, subwayLine=YUS, stationId=COL2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=0.4588933333333333, timeString=00.46, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503562, subwayLine=YUS, stationId=COL2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=7.084262222222222, timeString=07.08, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503563, subwayLine=YUS, stationId=COL2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=9.676497777777776, timeString=09.68, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503564, subwayLine=YUS, stationId=DUN2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=1.3257511111111113, timeString=01.33, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503565, subwayLine=YUS, stationId=DUN2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=7.9511199999999995, timeString=07.95, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503566, subwayLine=YUS, stationId=DUN2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=10.543355555555555, timeString=10.54, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16593503567, subwayLine=YUS, stationId=QUN2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=2.082542222222222, timeString=02.08, trainDestination=MUS2, createDate=Sun Sep 17 10:47:07 EDT 2017, systemMessageType=Normal]
