NTASData [id=16593148955, subwayLine=YUS, stationId=YKM1, trainId=128, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148956, subwayLine=YUS, stationId=YKM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=9.420755555555557, timeString=09.42, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148957, subwayLine=YUS, stationId=YKM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=17.091346666666666, timeString=17.09, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148958, subwayLine=YUS, stationId=SHP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=3.586351111111111, timeString=03.59, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148959, subwayLine=YUS, stationId=SHP1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=13.007106666666665, timeString=13.01, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148960, subwayLine=YUS, stationId=SHP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=20.677697777777777, timeString=20.68, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148961, subwayLine=YUS, stationId=NYC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=5.047568888888888, timeString=05.05, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148962, subwayLine=YUS, stationId=NYC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=14.468324444444445, timeString=14.47, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148963, subwayLine=YUS, stationId=NYC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=22.138915555555553, timeString=22.14, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148964, subwayLine=YUS, stationId=FIN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=7.654608888888888, timeString=07.65, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148965, subwayLine=YUS, stationId=FIN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=17.075364444444446, timeString=17.08, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148966, subwayLine=YUS, stationId=FIN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=24.745955555555554, timeString=24.75, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148967, subwayLine=YUS, stationId=FIN2, trainId=126, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148968, subwayLine=YUS, stationId=FIN2, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=7.654608888888888, timeString=07.65, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148969, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=17.075364444444446, timeString=17.08, trainDestination=FIN1, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148970, subwayLine=YUS, stationId=YKM2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=1.1599333333333335, timeString=01.16, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148971, subwayLine=YUS, stationId=LAW2, trainId=124, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148972, subwayLine=YUS, stationId=LAW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=4.672906666666667, timeString=04.67, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148973, subwayLine=YUS, stationId=EGL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=4.282875555555555, timeString=04.28, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148974, subwayLine=YUS, stationId=EGL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=8.955782222222224, timeString=08.96, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148975, subwayLine=YUS, stationId=DAV2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=5.892542222222222, timeString=05.89, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148976, subwayLine=YUS, stationId=DAV2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=10.565448888888888, timeString=10.57, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148977, subwayLine=YUS, stationId=STC2, trainId=123, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148978, subwayLine=YUS, stationId=STC2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=7.931751111111111, timeString=07.93, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148979, subwayLine=YUS, stationId=STC2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=12.604657777777774, timeString=12.60, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148980, subwayLine=YUS, stationId=SUM2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=1.4042088888888888, timeString=01.40, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148981, subwayLine=YUS, stationId=SUM2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=9.33596, timeString=09.34, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148982, subwayLine=YUS, stationId=SUM2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=14.008866666666664, timeString=14.01, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148983, subwayLine=YUS, stationId=ROS2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=2.4229022222222225, timeString=02.42, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148984, subwayLine=YUS, stationId=ROS2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=10.354653333333335, timeString=10.35, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148985, subwayLine=YUS, stationId=ROS2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=15.02756, timeString=15.03, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148986, subwayLine=YUS, stationId=BLO2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=3.7509111111111113, timeString=03.75, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593148987, subwayLine=YUS, stationId=BLO2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=11.682662222222222, timeString=11.68, trainDestination=MUS2, createDate=Sun Sep 17 10:21:10 EDT 2017, systemMessageType=Normal]
