NTASData [id=16593590911, subwayLine=YUS, stationId=QUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=9.539773333333333, timeString=09.54, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590912, subwayLine=YUS, stationId=QUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=11.240626666666666, timeString=11.24, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590913, subwayLine=YUS, stationId=KNG2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=3.378813333333334, timeString=03.38, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590914, subwayLine=YUS, stationId=KNG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=10.365426666666668, timeString=10.37, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590915, subwayLine=YUS, stationId=KNG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.066279999999999, timeString=12.07, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590916, subwayLine=YUS, stationId=UNI2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=4.185840000000001, timeString=04.19, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590917, subwayLine=YUS, stationId=UNI2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=11.172453333333333, timeString=11.17, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590918, subwayLine=YUS, stationId=UNI2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.873306666666666, timeString=12.87, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590919, subwayLine=YUS, stationId=STA2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=0.4373033333333333, timeString=00.44, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590920, subwayLine=YUS, stationId=STA2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=5.112528888888889, timeString=05.11, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590921, subwayLine=YUS, stationId=STA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=12.099142222222223, timeString=12.10, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
