NTASData [id=16592918546, subwayLine=BD, stationId=RUN1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=0.7498193238390094, timeString=00.75, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16592918547, subwayLine=BD, stationId=RUN1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=5.416436730650155, timeString=05.42, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16592918548, subwayLine=BD, stationId=HPK1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=1.9747061349845203, timeString=01.97, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16592918549, subwayLine=BD, stationId=HPK1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=6.641323541795666, timeString=06.64, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16592918550, subwayLine=BD, stationId=KEL1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=3.2168618006191956, timeString=03.22, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16592918551, subwayLine=BD, stationId=KEL1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=7.883479207430341, timeString=07.88, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16592918552, subwayLine=BD, stationId=DNW1, trainId=213, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16592918553, subwayLine=BD, stationId=DNW1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=4.167003967801858, timeString=04.17, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16592918554, subwayLine=BD, stationId=DNW1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=8.833621374613003, timeString=08.83, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16592918555, subwayLine=BD, stationId=LAN1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=1.4213554179566565, timeString=01.42, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16592918556, subwayLine=BD, stationId=LAN1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=5.588359385758515, timeString=05.59, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16592918557, subwayLine=BD, stationId=LAN1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=10.25497679256966, timeString=10.25, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16592918558, subwayLine=BD, stationId=DUF1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=2.3008651393188857, timeString=02.30, trainDestination=KEN1, createDate=Sun Sep 17 10:05:36 EDT 2017, systemMessageType=Normal]
