NTASData [id=16592944796, subwayLine=BD, stationId=DUF1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=0.2349696594427245, timeString=00.23, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944797, subwayLine=BD, stationId=DUF1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=4.493162972136224, timeString=04.49, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944798, subwayLine=BD, stationId=DUF1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=9.282259021671827, timeString=09.28, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944799, subwayLine=BD, stationId=OSS1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=1.4847689164086688, timeString=01.48, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944800, subwayLine=BD, stationId=OSS1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=5.742962229102167, timeString=05.74, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944801, subwayLine=BD, stationId=OSS1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=10.532058278637772, timeString=10.53, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944802, subwayLine=BD, stationId=CHR1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=2.7182448594427244, timeString=02.72, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944803, subwayLine=BD, stationId=CHR1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=6.976438172136223, timeString=06.98, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944804, subwayLine=BD, stationId=CHR1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=11.765534221671828, timeString=11.77, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944805, subwayLine=BD, stationId=BAT1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=0.2830959752321982, timeString=00.28, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944806, subwayLine=BD, stationId=BAT1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=3.7016508037151707, timeString=03.70, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944807, subwayLine=BD, stationId=BAT1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=7.959844116408668, timeString=07.96, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944808, subwayLine=BD, stationId=BSP1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=1.2172432198142418, timeString=01.22, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944809, subwayLine=BD, stationId=BSP1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=4.6357980482972145, timeString=04.64, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944810, subwayLine=BD, stationId=BSP1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=8.89399136099071, timeString=08.89, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944811, subwayLine=BD, stationId=SGL1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=2.1278934984520124, timeString=02.13, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
NTASData [id=16592944812, subwayLine=BD, stationId=SGL1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=5.546448326934986, timeString=05.55, trainDestination=KEN1, createDate=Sun Sep 17 10:07:23 EDT 2017, systemMessageType=Normal]
