NTASData [id=16593785632, subwayLine=YUS, stationId=SUM2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=0.6925733333333334, timeString=00.69, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785633, subwayLine=YUS, stationId=SUM2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=3.1884177777777776, timeString=03.19, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785634, subwayLine=YUS, stationId=SUM2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=8.524417777777778, timeString=08.52, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785635, subwayLine=YUS, stationId=ROS2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=1.7112666666666665, timeString=01.71, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785636, subwayLine=YUS, stationId=ROS2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=4.207111111111111, timeString=04.21, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785637, subwayLine=YUS, stationId=ROS2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=9.54311111111111, timeString=09.54, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785638, subwayLine=YUS, stationId=BLO2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=3.0392755555555553, timeString=03.04, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785639, subwayLine=YUS, stationId=BLO2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=5.53512, timeString=05.54, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785640, subwayLine=YUS, stationId=BLO2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=10.871120000000001, timeString=10.87, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785641, subwayLine=YUS, stationId=WEL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=0.061524444444444444, timeString=00.06, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785642, subwayLine=YUS, stationId=WEL2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=3.9936222222222226, timeString=03.99, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785643, subwayLine=YUS, stationId=WEL2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=6.489466666666667, timeString=06.49, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785644, subwayLine=YUS, stationId=COL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=0.9910355555555556, timeString=00.99, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785645, subwayLine=YUS, stationId=COL2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=4.923133333333333, timeString=04.92, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785646, subwayLine=YUS, stationId=COL2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=7.418977777777778, timeString=07.42, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785647, subwayLine=YUS, stationId=DUN2, trainId=3, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785648, subwayLine=YUS, stationId=DUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=1.8578933333333336, timeString=01.86, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785649, subwayLine=YUS, stationId=DUN2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=5.789991111111112, timeString=05.79, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785650, subwayLine=YUS, stationId=QUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=0.7567911111111111, timeString=00.76, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785651, subwayLine=YUS, stationId=QUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=2.614684444444445, timeString=02.61, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785652, subwayLine=YUS, stationId=QUN2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=6.546782222222223, timeString=06.55, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785653, subwayLine=YUS, stationId=KNG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=1.5824444444444445, timeString=01.58, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785654, subwayLine=YUS, stationId=KNG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.440337777777778, timeString=03.44, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785655, subwayLine=YUS, stationId=KNG2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=7.372435555555555, timeString=07.37, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785656, subwayLine=YUS, stationId=UNI2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=2.3894711111111113, timeString=02.39, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785657, subwayLine=YUS, stationId=UNI2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=4.247364444444445, timeString=04.25, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785658, subwayLine=YUS, stationId=UNI2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=8.179462222222222, timeString=08.18, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785659, subwayLine=YUS, stationId=STA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=0.6321777777777777, timeString=00.63, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785660, subwayLine=YUS, stationId=STA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=3.31616, timeString=03.32, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785661, subwayLine=YUS, stationId=STA2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.174053333333333, timeString=05.17, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785662, subwayLine=YUS, stationId=OSG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=1.3274444444444446, timeString=01.33, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785663, subwayLine=YUS, stationId=OSG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=4.011426666666667, timeString=04.01, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785664, subwayLine=YUS, stationId=OSG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.86932, timeString=05.87, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785665, subwayLine=YUS, stationId=STP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=2.0814133333333333, timeString=02.08, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785666, subwayLine=YUS, stationId=STP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=4.765395555555555, timeString=04.77, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785667, subwayLine=YUS, stationId=STP2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=6.623288888888888, timeString=06.62, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593785668, subwayLine=YUS, stationId=QPK2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=3.2237199999999997, timeString=03.22, trainDestination=SHW2, createDate=Sun Sep 17 11:08:34 EDT 2017, systemMessageType=Normal]
