NTASData [id=16595117450, subwayLine=YUS, stationId=EGL2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=13.192808888888887, timeString=13.19, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117451, subwayLine=YUS, stationId=DAV2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=1.6096666666666666, timeString=01.61, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117452, subwayLine=YUS, stationId=DAV2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=9.687737777777777, timeString=09.69, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117453, subwayLine=YUS, stationId=DAV2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=14.802475555555556, timeString=14.80, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117454, subwayLine=YUS, stationId=STC2, trainId=107, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117455, subwayLine=YUS, stationId=STC2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=3.6488755555555556, timeString=03.65, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117456, subwayLine=YUS, stationId=STC2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=11.726946666666665, timeString=11.73, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117457, subwayLine=YUS, stationId=SUM2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=1.4042088888888888, timeString=01.40, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117458, subwayLine=YUS, stationId=SUM2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=5.053084444444444, timeString=05.05, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117459, subwayLine=YUS, stationId=SUM2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=13.131155555555553, timeString=13.13, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117460, subwayLine=YUS, stationId=ROS2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=2.4229022222222225, timeString=02.42, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117461, subwayLine=YUS, stationId=ROS2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=6.071777777777777, timeString=06.07, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117462, subwayLine=YUS, stationId=ROS2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=14.149848888888886, timeString=14.15, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117463, subwayLine=YUS, stationId=BLO2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=0.45550666666666667, timeString=00.46, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117464, subwayLine=YUS, stationId=BLO2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=3.7509111111111113, timeString=03.75, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117465, subwayLine=YUS, stationId=BLO2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=7.399786666666666, timeString=07.40, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117466, subwayLine=YUS, stationId=WEL2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=1.4098533333333334, timeString=01.41, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
