NTASData [id=16593505151, subwayLine=YUS, stationId=COL2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=0.2816577777777778, timeString=00.28, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505152, subwayLine=YUS, stationId=COL2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=6.9967733333333335, timeString=07.00, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505153, subwayLine=YUS, stationId=COL2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=9.676497777777776, timeString=09.68, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505154, subwayLine=YUS, stationId=DUN2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=1.1485155555555555, timeString=01.15, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505155, subwayLine=YUS, stationId=DUN2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=7.863631111111111, timeString=07.86, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505156, subwayLine=YUS, stationId=DUN2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=10.543355555555555, timeString=10.54, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505157, subwayLine=YUS, stationId=QUN2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=1.9053066666666667, timeString=01.91, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505158, subwayLine=YUS, stationId=QUN2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=8.620422222222222, timeString=08.62, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505159, subwayLine=YUS, stationId=QUN2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=11.300146666666667, timeString=11.30, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505160, subwayLine=YUS, stationId=KNG2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=2.73096, timeString=02.73, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505161, subwayLine=YUS, stationId=KNG2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=9.446075555555556, timeString=09.45, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505162, subwayLine=YUS, stationId=KNG2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=12.125799999999998, timeString=12.13, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505163, subwayLine=YUS, stationId=UNI2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=3.537986666666667, timeString=03.54, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505164, subwayLine=YUS, stationId=UNI2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=10.253102222222223, timeString=10.25, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505165, subwayLine=YUS, stationId=UNI2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=12.932826666666665, timeString=12.93, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505166, subwayLine=YUS, stationId=STA2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=4.464675555555555, timeString=04.46, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505167, subwayLine=YUS, stationId=STA2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=11.17979111111111, timeString=11.18, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505168, subwayLine=YUS, stationId=STA2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=13.859515555555554, timeString=13.86, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505169, subwayLine=YUS, stationId=OSG2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=0.19924888888888886, timeString=00.20, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505170, subwayLine=YUS, stationId=OSG2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=5.159942222222222, timeString=05.16, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505171, subwayLine=YUS, stationId=OSG2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=11.875057777777776, timeString=11.88, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505172, subwayLine=YUS, stationId=STP2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=0.9532177777777778, timeString=00.95, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505173, subwayLine=YUS, stationId=STP2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=5.91391111111111, timeString=05.91, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505174, subwayLine=YUS, stationId=STP2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=12.629026666666665, timeString=12.63, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505175, subwayLine=YUS, stationId=QPK2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=2.095524444444444, timeString=02.10, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505176, subwayLine=YUS, stationId=QPK2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=7.056217777777777, timeString=07.06, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505177, subwayLine=YUS, stationId=QPK2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=13.771333333333331, timeString=13.77, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505178, subwayLine=YUS, stationId=MUS2, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505179, subwayLine=YUS, stationId=MUS2, trainId=4, trainMessage=AtStation, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=MUS1, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505180, subwayLine=YUS, stationId=MUS2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=3.358057777777778, timeString=03.36, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505181, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505182, subwayLine=YUS, stationId=MUS1, trainId=4, trainMessage=AtStation, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=MUS1, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505183, subwayLine=YUS, stationId=MUS1, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=3.358057777777778, timeString=03.36, trainDestination=MUS2, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593505184, subwayLine=YUS, stationId=QPK1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=1.0075333333333334, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 10:47:14 EDT 2017, systemMessageType=Normal]
