NTASData [id=16594252996, subwayLine=BD, stationId=BSP1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=2.896029131888545, timeString=02.90, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594252997, subwayLine=BD, stationId=BSP1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=6.058852042105263, timeString=06.06, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594252998, subwayLine=BD, stationId=BSP1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=11.248814593188856, timeString=11.25, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594252999, subwayLine=BD, stationId=SGL1, trainId=209, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253000, subwayLine=BD, stationId=SGL1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=3.8066794105263164, timeString=03.81, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253001, subwayLine=BD, stationId=SGL1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=6.969502320743034, timeString=06.97, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253002, subwayLine=BD, stationId=BAU1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=1.0916901547987616, timeString=01.09, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253003, subwayLine=BD, stationId=BAU1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=4.898369565325078, timeString=04.90, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253004, subwayLine=BD, stationId=BAU1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=8.061192475541796, timeString=08.06, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253005, subwayLine=BD, stationId=YNG1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=1.8919330030959756, timeString=01.89, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253006, subwayLine=BD, stationId=YNG1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=5.698612413622293, timeString=05.70, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253007, subwayLine=BD, stationId=YNG1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=8.86143532383901, timeString=08.86, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253008, subwayLine=BD, stationId=SHE1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=3.211373869969041, timeString=03.21, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253009, subwayLine=BD, stationId=SHE1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=7.018053280495357, timeString=07.02, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253010, subwayLine=BD, stationId=SHE1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=10.180876190712073, timeString=10.18, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253011, subwayLine=BD, stationId=CFK1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=4.249417337461301, timeString=04.25, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253012, subwayLine=BD, stationId=CFK1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=8.056096747987617, timeString=08.06, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253013, subwayLine=BD, stationId=CFK1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=11.218919658204335, timeString=11.22, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253014, subwayLine=BD, stationId=BRD1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=1.3195103405572757, timeString=01.32, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253015, subwayLine=BD, stationId=BRD1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=5.823927678018578, timeString=05.82, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253016, subwayLine=BD, stationId=BRD1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=9.630607088544892, timeString=09.63, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253017, subwayLine=BD, stationId=CHE1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=2.357978452012384, timeString=02.36, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253018, subwayLine=BD, stationId=CHE1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=6.862395789473686, timeString=06.86, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253019, subwayLine=BD, stationId=CHE1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=10.6690752, timeString=10.67, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253020, subwayLine=BD, stationId=PAP1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=3.327088049535604, timeString=03.33, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253021, subwayLine=BD, stationId=PAP1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=7.831505386996906, timeString=07.83, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253022, subwayLine=BD, stationId=PAP1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=11.63818479752322, timeString=11.64, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253023, subwayLine=BD, stationId=DON1, trainId=207, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253024, subwayLine=BD, stationId=DON1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=4.265764829721363, timeString=04.27, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253025, subwayLine=BD, stationId=DON1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=8.770182167182663, timeString=08.77, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253026, subwayLine=BD, stationId=GWD1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=1.1297665634674923, timeString=01.13, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253027, subwayLine=BD, stationId=GWD1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=5.395531393188856, timeString=05.40, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253028, subwayLine=BD, stationId=GWD1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=9.899948730650156, timeString=09.90, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253029, subwayLine=BD, stationId=COX1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=2.084013622291022, timeString=02.08, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253030, subwayLine=BD, stationId=COX1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=6.349778452012384, timeString=06.35, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253031, subwayLine=BD, stationId=COX1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=10.854195789473685, timeString=10.85, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253032, subwayLine=BD, stationId=WDB1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=3.5193822910216723, timeString=03.52, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253033, subwayLine=BD, stationId=WDB1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=7.785147120743034, timeString=07.79, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253034, subwayLine=BD, stationId=WDB1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=12.289564458204335, timeString=12.29, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253035, subwayLine=BD, stationId=MST1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=1.469834303405573, timeString=01.47, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253036, subwayLine=BD, stationId=MST1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=5.244216594427245, timeString=05.24, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253037, subwayLine=BD, stationId=MST1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=9.509981424148608, timeString=09.51, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253038, subwayLine=BD, stationId=VPK1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=3.645357399380805, timeString=03.65, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253039, subwayLine=BD, stationId=VPK1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=7.419739690402478, timeString=07.42, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253040, subwayLine=BD, stationId=VPK1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=11.685504520123839, timeString=11.69, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253041, subwayLine=BD, stationId=WAR1, trainId=205, trainMessage=Arriving, trainDirection=East, timeInt=2.9909089783281737, timeString=02.99, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253042, subwayLine=BD, stationId=WAR1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=7.587682476780186, timeString=07.59, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253043, subwayLine=BD, stationId=WAR1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=11.36206476780186, timeString=11.36, trainDestination=KEN1, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594253044, subwayLine=BD, stationId=KEN1, trainId=204, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:42:47 EDT 2017, systemMessageType=Normal]
