NTASData [id=16594453392, subwayLine=BD, stationId=BRD1, trainId=211, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:58:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594453393, subwayLine=BD, stationId=BRD1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=5.309894860681116, timeString=05.31, trainDestination=KEN1, createDate=Sun Sep 17 11:58:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594453394, subwayLine=BD, stationId=BRD1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=9.061487925696595, timeString=09.06, trainDestination=KEN1, createDate=Sun Sep 17 11:58:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594453395, subwayLine=BD, stationId=CHE1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=1.0384681114551084, timeString=01.04, trainDestination=KEN1, createDate=Sun Sep 17 11:58:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594453396, subwayLine=BD, stationId=CHE1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=6.348362972136224, timeString=06.35, trainDestination=KEN1, createDate=Sun Sep 17 11:58:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594453397, subwayLine=BD, stationId=CHE1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=10.099956037151703, timeString=10.10, trainDestination=KEN1, createDate=Sun Sep 17 11:58:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594453398, subwayLine=BD, stationId=PAP1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=2.007577708978328, timeString=02.01, trainDestination=KEN1, createDate=Sun Sep 17 11:58:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594453399, subwayLine=BD, stationId=PAP1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=7.317472569659444, timeString=07.32, trainDestination=KEN1, createDate=Sun Sep 17 11:58:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594453400, subwayLine=BD, stationId=PAP1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=11.069065634674923, timeString=11.07, trainDestination=KEN1, createDate=Sun Sep 17 11:58:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594453401, subwayLine=BD, stationId=DON1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=2.946254489164087, timeString=02.95, trainDestination=KEN1, createDate=Sun Sep 17 11:58:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594453402, subwayLine=BD, stationId=DON1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=8.256149349845202, timeString=08.26, trainDestination=KEN1, createDate=Sun Sep 17 11:58:07 EDT 2017, systemMessageType=Normal]
