NTASData [id=16593740348, subwayLine=YUS, stationId=SHW1, trainId=122, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740349, subwayLine=YUS, stationId=SHW1, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=1.1855925925925928, timeString=01.19, trainDestination=SHW2, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740350, subwayLine=YUS, stationId=SHW1, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=5.870731111111112, timeString=05.87, trainDestination=SHW2, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740351, subwayLine=YUS, stationId=WIL1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=1.9096280592592592, timeString=01.91, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740352, subwayLine=YUS, stationId=YKD1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=0.28786666666666666, timeString=00.29, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740353, subwayLine=YUS, stationId=YKD1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=3.925130281481481, timeString=03.93, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740354, subwayLine=YUS, stationId=LWW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=2.306191111111111, timeString=02.31, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740355, subwayLine=YUS, stationId=LWW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=5.943454725925926, timeString=05.94, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740356, subwayLine=YUS, stationId=GCN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=3.6646800000000006, timeString=03.66, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740357, subwayLine=YUS, stationId=GCN1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=7.301943614814815, timeString=07.30, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740358, subwayLine=YUS, stationId=EGW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=5.484884444444444, timeString=05.48, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740359, subwayLine=YUS, stationId=EGW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=9.122148059259258, timeString=09.12, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740360, subwayLine=YUS, stationId=SCW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=10.18432, timeString=10.18, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740361, subwayLine=YUS, stationId=SCW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=13.821583614814816, timeString=13.82, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740362, subwayLine=YUS, stationId=DUP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=12.808857777777778, timeString=12.81, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740363, subwayLine=YUS, stationId=DUP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=16.446121392592595, timeString=16.45, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740364, subwayLine=YUS, stationId=SPA1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=0.7456311111111111, timeString=00.75, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740365, subwayLine=YUS, stationId=SPA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=13.809488888888888, timeString=13.81, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740366, subwayLine=YUS, stationId=SPA1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=17.446752503703703, timeString=17.45, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740367, subwayLine=YUS, stationId=SGU1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=1.875237777777778, timeString=01.88, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740368, subwayLine=YUS, stationId=SGU1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=14.939095555555555, timeString=14.94, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740369, subwayLine=YUS, stationId=SGU1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=18.57635917037037, timeString=18.58, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740370, subwayLine=YUS, stationId=MUS1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=3.0772344444444446, timeString=03.08, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740371, subwayLine=YUS, stationId=MUS1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=16.141092222222223, timeString=16.14, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740372, subwayLine=YUS, stationId=MUS1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=19.778355837037033, timeString=19.78, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740373, subwayLine=YUS, stationId=QPK1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=4.3397677777777774, timeString=04.34, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740374, subwayLine=YUS, stationId=QPK1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=17.403625555555553, timeString=17.40, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740375, subwayLine=YUS, stationId=QPK1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=21.04088917037037, timeString=21.04, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740376, subwayLine=YUS, stationId=STP1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=5.490541111111112, timeString=05.49, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740377, subwayLine=YUS, stationId=STP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=18.55439888888889, timeString=18.55, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740378, subwayLine=YUS, stationId=STP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=22.1916625037037, timeString=22.19, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740379, subwayLine=YUS, stationId=OSG1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=6.241687777777777, timeString=06.24, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740380, subwayLine=YUS, stationId=OSG1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=19.305545555555558, timeString=19.31, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593740381, subwayLine=YUS, stationId=OSG1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=22.942809170370367, timeString=22.94, trainDestination=FIN1, createDate=Sun Sep 17 11:05:19 EDT 2017, systemMessageType=Normal]
