NTASData [id=16592990103, subwayLine=YUS, stationId=MUS2, trainId=104, trainMessage=AtStation, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=MUS1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990104, subwayLine=YUS, stationId=MUS2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=3.8540755555555553, timeString=03.85, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990105, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990106, subwayLine=YUS, stationId=MUS1, trainId=104, trainMessage=AtStation, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=MUS1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990107, subwayLine=YUS, stationId=MUS1, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=3.8540755555555553, timeString=03.85, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990108, subwayLine=YUS, stationId=QPK1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.0075333333333334, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990109, subwayLine=YUS, stationId=STP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.1583066666666664, timeString=02.16, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990110, subwayLine=YUS, stationId=OSG1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.9094533333333334, timeString=02.91, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990111, subwayLine=YUS, stationId=STA1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=3.743291111111111, timeString=03.74, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990112, subwayLine=YUS, stationId=UNI1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=4.6502244444444445, timeString=04.65, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990113, subwayLine=YUS, stationId=KNG1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=5.445115555555555, timeString=05.45, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990114, subwayLine=YUS, stationId=QUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=6.27076888888889, timeString=06.27, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990115, subwayLine=YUS, stationId=DUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=7.025302222222223, timeString=07.03, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990116, subwayLine=YUS, stationId=COL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=7.8921600000000005, timeString=07.89, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990117, subwayLine=YUS, stationId=WEL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=8.809817777777779, timeString=08.81, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990118, subwayLine=YUS, stationId=BLO1, trainId=101, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990119, subwayLine=YUS, stationId=BLO1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=9.764164444444443, timeString=09.76, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990120, subwayLine=YUS, stationId=ROS1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=1.3285733333333334, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990121, subwayLine=YUS, stationId=ROS1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=11.092737777777778, timeString=11.09, trainDestination=FIN1, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
