NTASData [id=16593296804, subwayLine=YUS, stationId=BLO2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=0.2918177777777778, timeString=00.29, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296805, subwayLine=YUS, stationId=BLO2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=5.79012, timeString=05.79, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296806, subwayLine=YUS, stationId=BLO2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=14.787106666666668, timeString=14.79, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296807, subwayLine=YUS, stationId=WEL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=1.2461644444444444, timeString=01.25, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296808, subwayLine=YUS, stationId=WEL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=6.744466666666668, timeString=06.74, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296809, subwayLine=YUS, stationId=WEL2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=15.741453333333334, timeString=15.74, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296810, subwayLine=YUS, stationId=COL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=2.1756755555555554, timeString=02.18, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296811, subwayLine=YUS, stationId=COL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=7.673977777777777, timeString=07.67, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296812, subwayLine=YUS, stationId=COL2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=16.670964444444447, timeString=16.67, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296813, subwayLine=YUS, stationId=DUN2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=3.0425333333333335, timeString=03.04, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296814, subwayLine=YUS, stationId=DUN2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=8.540835555555555, timeString=08.54, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296815, subwayLine=YUS, stationId=DUN2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=17.53782222222222, timeString=17.54, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296816, subwayLine=YUS, stationId=QUN2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=3.7993244444444443, timeString=03.80, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296817, subwayLine=YUS, stationId=QUN2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=9.297626666666666, timeString=09.30, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296818, subwayLine=YUS, stationId=QUN2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=18.294613333333334, timeString=18.29, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296819, subwayLine=YUS, stationId=KNG2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=0.3917244444444445, timeString=00.39, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296820, subwayLine=YUS, stationId=KNG2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=4.624977777777778, timeString=04.62, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296821, subwayLine=YUS, stationId=KNG2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=10.12328, timeString=10.12, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296822, subwayLine=YUS, stationId=UNI2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=1.198751111111111, timeString=01.20, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296823, subwayLine=YUS, stationId=UNI2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=5.432004444444445, timeString=05.43, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296824, subwayLine=YUS, stationId=UNI2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=10.930306666666667, timeString=10.93, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296825, subwayLine=YUS, stationId=STA2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=2.12544, timeString=02.13, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296826, subwayLine=YUS, stationId=STA2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=6.358693333333333, timeString=06.36, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296827, subwayLine=YUS, stationId=STA2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=11.856995555555557, timeString=11.86, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296828, subwayLine=YUS, stationId=OSG2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=2.8207066666666667, timeString=02.82, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296829, subwayLine=YUS, stationId=OSG2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=7.05396, timeString=07.05, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296830, subwayLine=YUS, stationId=OSG2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=12.552262222222222, timeString=12.55, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296831, subwayLine=YUS, stationId=STP2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=3.574675555555556, timeString=03.57, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296832, subwayLine=YUS, stationId=STP2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=7.80792888888889, timeString=07.81, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296833, subwayLine=YUS, stationId=STP2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=13.30623111111111, timeString=13.31, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296834, subwayLine=YUS, stationId=QPK2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=4.716982222222223, timeString=04.72, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296835, subwayLine=YUS, stationId=QPK2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=8.950235555555556, timeString=08.95, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296836, subwayLine=YUS, stationId=QPK2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=14.448537777777776, timeString=14.45, trainDestination=MUS2, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296837, subwayLine=YUS, stationId=MUS2, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=0.450596, timeString=00.45, trainDestination=MUS1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296838, subwayLine=YUS, stationId=MUS2, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296839, subwayLine=YUS, stationId=MUS2, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=2.0766033333333334, timeString=02.08, trainDestination=MUS1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296840, subwayLine=YUS, stationId=MUS1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=0.450596, timeString=00.45, trainDestination=MUS1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296841, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296842, subwayLine=YUS, stationId=MUS1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=2.0766033333333334, timeString=02.08, trainDestination=MUS1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296843, subwayLine=YUS, stationId=STA1, trainId=108, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296844, subwayLine=YUS, stationId=UNI1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=0.9069333333333333, timeString=00.91, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296845, subwayLine=YUS, stationId=KNG1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=1.7018244444444444, timeString=01.70, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296846, subwayLine=YUS, stationId=QUN1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.4069644444444444, timeString=00.41, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296847, subwayLine=YUS, stationId=QUN1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.527477777777778, timeString=02.53, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296848, subwayLine=YUS, stationId=DUN1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=1.1614977777777777, timeString=01.16, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296849, subwayLine=YUS, stationId=DUN1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=3.282011111111111, timeString=03.28, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296850, subwayLine=YUS, stationId=COL1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=2.0283555555555557, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296851, subwayLine=YUS, stationId=COL1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=4.148868888888889, timeString=04.15, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296852, subwayLine=YUS, stationId=WEL1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=0.6626577777777778, timeString=00.66, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296853, subwayLine=YUS, stationId=WEL1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=2.9460133333333336, timeString=02.95, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296854, subwayLine=YUS, stationId=WEL1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=5.066526666666666, timeString=05.07, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296855, subwayLine=YUS, stationId=BLO1, trainId=5, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296856, subwayLine=YUS, stationId=BLO1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=1.6170044444444445, timeString=01.62, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296857, subwayLine=YUS, stationId=BLO1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=3.90036, timeString=03.90, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296858, subwayLine=YUS, stationId=ROS1, trainId=3, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296859, subwayLine=YUS, stationId=ROS1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=1.3285733333333334, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16593296860, subwayLine=YUS, stationId=ROS1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=2.9455777777777774, timeString=02.95, trainDestination=FIN1, createDate=Sun Sep 17 10:31:30 EDT 2017, systemMessageType=Normal]
