NTASData [id=16594497191, subwayLine=YUS, stationId=STP1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=0.7586133333333334, timeString=00.76, trainDestination=FIN1, createDate=Sun Sep 17 12:01:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594497192, subwayLine=YUS, stationId=STP1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=3.6153033333333333, timeString=03.62, trainDestination=FIN1, createDate=Sun Sep 17 12:01:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594497193, subwayLine=YUS, stationId=STP1, trainId=192, trainMessage=Delayed, trainDirection=North, timeInt=5.745541111111111, timeString=05.75, trainDestination=FIN1, createDate=Sun Sep 17 12:01:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594497194, subwayLine=YUS, stationId=OSG1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=1.50976, timeString=01.51, trainDestination=FIN1, createDate=Sun Sep 17 12:01:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594497195, subwayLine=YUS, stationId=OSG1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=4.36645, timeString=04.37, trainDestination=FIN1, createDate=Sun Sep 17 12:01:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594497196, subwayLine=YUS, stationId=OSG1, trainId=192, trainMessage=Delayed, trainDirection=North, timeInt=6.496687777777778, timeString=06.50, trainDestination=FIN1, createDate=Sun Sep 17 12:01:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594497197, subwayLine=YUS, stationId=STA1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=2.343597777777778, timeString=02.34, trainDestination=FIN1, createDate=Sun Sep 17 12:01:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594497198, subwayLine=YUS, stationId=STA1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=5.200287777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 12:01:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594497199, subwayLine=YUS, stationId=STA1, trainId=192, trainMessage=Delayed, trainDirection=North, timeInt=7.330525555555555, timeString=07.33, trainDestination=FIN1, createDate=Sun Sep 17 12:01:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594497200, subwayLine=YUS, stationId=UNI1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=3.250531111111111, timeString=03.25, trainDestination=FIN1, createDate=Sun Sep 17 12:01:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594497201, subwayLine=YUS, stationId=UNI1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=6.1072211111111105, timeString=06.11, trainDestination=FIN1, createDate=Sun Sep 17 12:01:35 EDT 2017, systemMessageType=Normal]
