NTASData [id=16593738971, subwayLine=YUS, stationId=DUP2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=0.3815644444444445, timeString=00.38, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738972, subwayLine=YUS, stationId=DUP2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=3.5367044444444447, timeString=03.54, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738973, subwayLine=YUS, stationId=DUP2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=6.924113333333333, timeString=06.92, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738974, subwayLine=YUS, stationId=SCW2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=3.0061022222222227, timeString=03.01, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738975, subwayLine=YUS, stationId=SCW2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=6.1612422222222225, timeString=06.16, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738976, subwayLine=YUS, stationId=SCW2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=9.54865111111111, timeString=09.55, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738977, subwayLine=YUS, stationId=EGW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=0.9645, timeString=00.96, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738978, subwayLine=YUS, stationId=EGW2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=7.819273333333334, timeString=07.82, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738979, subwayLine=YUS, stationId=EGW2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=10.974413333333334, timeString=10.97, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738980, subwayLine=YUS, stationId=GCN2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=2.78414, timeString=02.78, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738981, subwayLine=YUS, stationId=GCN2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=9.638913333333333, timeString=09.64, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738982, subwayLine=YUS, stationId=GCN2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=12.794053333333334, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738983, subwayLine=YUS, stationId=LWW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=4.148273333333334, timeString=04.15, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738984, subwayLine=YUS, stationId=LWW2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=11.003046666666666, timeString=11.00, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738985, subwayLine=YUS, stationId=LWW2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=14.158186666666667, timeString=14.16, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16593738986, subwayLine=YUS, stationId=YKD2, trainId=124, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:05:12 EDT 2017, systemMessageType=Normal]
