NTASData [id=16593279717, subwayLine=BD, stationId=KEN2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=0.297139318885449, timeString=00.30, trainDestination=KEN2, createDate=Sun Sep 17 10:30:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593279718, subwayLine=BD, stationId=KEN2, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=9.02373210650155, timeString=09.02, trainDestination=KEN1, createDate=Sun Sep 17 10:30:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593279719, subwayLine=BD, stationId=VPK2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=3.4666234551083597, timeString=03.47, trainDestination=KIP2, createDate=Sun Sep 17 10:30:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593279720, subwayLine=BD, stationId=MST2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=5.70612624148607, timeString=05.71, trainDestination=KIP2, createDate=Sun Sep 17 10:30:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593279721, subwayLine=BD, stationId=WDB2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=1.4788933746130033, timeString=01.48, trainDestination=KIP2, createDate=Sun Sep 17 10:30:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593279722, subwayLine=BD, stationId=WDB2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=7.440019616099073, timeString=07.44, trainDestination=KIP2, createDate=Sun Sep 17 10:30:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593279723, subwayLine=BD, stationId=COX2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=2.786161114551084, timeString=02.79, trainDestination=KIP2, createDate=Sun Sep 17 10:30:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593279724, subwayLine=BD, stationId=COX2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=8.747287356037154, timeString=08.75, trainDestination=KIP2, createDate=Sun Sep 17 10:30:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593279725, subwayLine=BD, stationId=GWD2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=3.729084334365325, timeString=03.73, trainDestination=KIP2, createDate=Sun Sep 17 10:30:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593279726, subwayLine=BD, stationId=GWD2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=9.690210575851394, timeString=09.69, trainDestination=KIP2, createDate=Sun Sep 17 10:30:14 EDT 2017, systemMessageType=Normal]
