NTASData [id=16593295294, subwayLine=BD, stationId=YNG1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=0.1868433436532508, timeString=00.19, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295295, subwayLine=BD, stationId=YNG1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=4.019826501547989, timeString=04.02, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295296, subwayLine=BD, stationId=YNG1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=8.082921391950464, timeString=08.08, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295297, subwayLine=BD, stationId=SHE1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=1.506284210526316, timeString=01.51, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295298, subwayLine=BD, stationId=SHE1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=5.339267368421053, timeString=05.34, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295299, subwayLine=BD, stationId=SHE1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=9.40236225882353, timeString=09.40, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295300, subwayLine=BD, stationId=CFK1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=2.5443276780185764, timeString=02.54, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295301, subwayLine=BD, stationId=CFK1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=6.377310835913313, timeString=06.38, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295302, subwayLine=BD, stationId=CFK1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=10.44040572631579, timeString=10.44, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295303, subwayLine=BD, stationId=BRD1, trainId=215, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295304, subwayLine=BD, stationId=BRD1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=4.118838018575852, timeString=04.12, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295305, subwayLine=BD, stationId=BRD1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=7.95182117647059, timeString=07.95, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295306, subwayLine=BD, stationId=CHE1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=1.0384681114551084, timeString=01.04, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295307, subwayLine=BD, stationId=CHE1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=5.15730613003096, timeString=05.16, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593295308, subwayLine=BD, stationId=CHE1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=8.990289287925696, timeString=08.99, trainDestination=KEN1, createDate=Sun Sep 17 10:31:24 EDT 2017, systemMessageType=Normal]
