NTASData [id=16593518345, subwayLine=BD, stationId=BRD2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=0.2602614538699691, timeString=00.26, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518346, subwayLine=BD, stationId=BRD2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=3.036092165944273, timeString=03.04, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518347, subwayLine=BD, stationId=BRD2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=12.069337367182664, timeString=12.07, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518348, subwayLine=BD, stationId=CFK2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=1.624148388854489, timeString=01.62, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518349, subwayLine=BD, stationId=CFK2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=4.399979100928793, timeString=04.40, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518350, subwayLine=BD, stationId=CFK2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=13.433224302167185, timeString=13.43, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518351, subwayLine=BD, stationId=SHE2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=2.586888326934985, timeString=02.59, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518352, subwayLine=BD, stationId=SHE2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=5.3627190390092885, timeString=05.36, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518353, subwayLine=BD, stationId=SHE2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=14.395964240247679, timeString=14.40, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518354, subwayLine=BD, stationId=YNG2, trainId=209, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518355, subwayLine=BD, stationId=YNG2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=3.9442640544891647, timeString=03.94, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518356, subwayLine=BD, stationId=YNG2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=6.720094766563468, timeString=06.72, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518357, subwayLine=BD, stationId=BAU2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=0.7904760371517028, timeString=00.79, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518358, subwayLine=BD, stationId=BAU2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=4.734740091640868, timeString=04.73, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518359, subwayLine=BD, stationId=BAU2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=7.51057080371517, timeString=07.51, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518360, subwayLine=BD, stationId=SGL2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=1.918544024767802, timeString=01.92, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518361, subwayLine=BD, stationId=SGL2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=5.862808079256967, timeString=05.86, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518362, subwayLine=BD, stationId=SGL2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=8.638638791331271, timeString=08.64, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518363, subwayLine=BD, stationId=BSP2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=2.724307244582044, timeString=02.72, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518364, subwayLine=BD, stationId=BSP2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=6.668571299071209, timeString=06.67, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518365, subwayLine=BD, stationId=BSP2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=9.444402011145511, timeString=09.44, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518366, subwayLine=BD, stationId=BAT2, trainId=208, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518367, subwayLine=BD, stationId=BAT2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=3.655340433436533, timeString=03.66, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518368, subwayLine=BD, stationId=BAT2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=7.599604487925697, timeString=07.60, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518369, subwayLine=BD, stationId=CHR2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=0.9684018575851394, timeString=00.97, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518370, subwayLine=BD, stationId=CHR2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=4.623742291021673, timeString=04.62, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518371, subwayLine=BD, stationId=CHR2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=8.568006345510836, timeString=08.57, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518372, subwayLine=BD, stationId=OSS2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=2.28704439380805, timeString=02.29, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518373, subwayLine=BD, stationId=OSS2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=5.942384827244583, timeString=05.94, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518374, subwayLine=BD, stationId=OSS2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=9.886648881733747, timeString=09.89, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518375, subwayLine=BD, stationId=DUF2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=3.583271390712075, timeString=03.58, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518376, subwayLine=BD, stationId=DUF2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=7.238611824148608, timeString=07.24, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518377, subwayLine=BD, stationId=DUF2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=11.182875878637772, timeString=11.18, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518378, subwayLine=BD, stationId=LAN2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=0.2941367182662539, timeString=00.29, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518379, subwayLine=BD, stationId=LAN2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=4.408992876780186, timeString=04.41, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518380, subwayLine=BD, stationId=LAN2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=8.06433331021672, timeString=08.06, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518381, subwayLine=BD, stationId=DNW2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=1.6775572755417958, timeString=01.68, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518382, subwayLine=BD, stationId=DNW2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=5.792413434055728, timeString=05.79, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518383, subwayLine=BD, stationId=DNW2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=9.447753867492262, timeString=09.45, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593518384, subwayLine=BD, stationId=KEL2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=2.813410402476781, timeString=02.81, trainDestination=KIP2, createDate=Sun Sep 17 10:48:13 EDT 2017, systemMessageType=Normal]
