NTASData [id=16593131003, subwayLine=SHEP, stationId=BSS2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=1.340939597315436, timeString=01.34, trainDestination=YIE2, createDate=Sun Sep 17 10:19:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16593131004, subwayLine=SHEP, stationId=BYV2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=3.1321812080536913, timeString=03.13, trainDestination=YIE2, createDate=Sun Sep 17 10:19:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16593131005, subwayLine=SHEP, stationId=YIE2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=1.461744966442953, timeString=01.46, trainDestination=YIE2, createDate=Sun Sep 17 10:19:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16593131006, subwayLine=SHEP, stationId=YIE2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=7.273087248322147, timeString=07.27, trainDestination=YIE2, createDate=Sun Sep 17 10:19:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16593131007, subwayLine=SHEP, stationId=YIE1, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=1.461744966442953, timeString=01.46, trainDestination=YIE2, createDate=Sun Sep 17 10:19:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16593131008, subwayLine=SHEP, stationId=YIE1, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=7.273087248322147, timeString=07.27, trainDestination=YIE2, createDate=Sun Sep 17 10:19:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16593131009, subwayLine=SHEP, stationId=BSS1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=0.29395973154362415, timeString=00.29, trainDestination=DML1, createDate=Sun Sep 17 10:19:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16593131010, subwayLine=SHEP, stationId=LES1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=1.8818456375838926, timeString=01.88, trainDestination=DML1, createDate=Sun Sep 17 10:19:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16593131011, subwayLine=SHEP, stationId=DML1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=0.4187919463087248, timeString=00.42, trainDestination=DML2, createDate=Sun Sep 17 10:19:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16593131012, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=5.386510067114093, timeString=05.39, trainDestination=DML1, createDate=Sun Sep 17 10:19:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16593131013, subwayLine=SHEP, stationId=DML2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=0.4187919463087248, timeString=00.42, trainDestination=DML2, createDate=Sun Sep 17 10:19:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16593131014, subwayLine=SHEP, stationId=DML2, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=5.386510067114093, timeString=05.39, trainDestination=DML1, createDate=Sun Sep 17 10:19:58 EDT 2017, systemMessageType=Normal]
