NTASData [id=16593718021, subwayLine=YUS, stationId=LWW2, trainId=124, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718022, subwayLine=YUS, stationId=LWW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=6.2085511111111105, timeString=06.21, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718023, subwayLine=YUS, stationId=LWW2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=11.619291111111112, timeString=11.62, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718024, subwayLine=YUS, stationId=YKD2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=2.0262266666666666, timeString=02.03, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718025, subwayLine=YUS, stationId=YKD2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=8.23477777777778, timeString=08.23, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718026, subwayLine=YUS, stationId=YKD2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=13.645517777777778, timeString=13.65, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718027, subwayLine=YUS, stationId=WIL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=4.04568, timeString=04.05, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718028, subwayLine=YUS, stationId=WIL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=10.25423111111111, timeString=10.25, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718029, subwayLine=YUS, stationId=WIL2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=15.664971111111111, timeString=15.66, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718030, subwayLine=YUS, stationId=SHW2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718031, subwayLine=YUS, stationId=SHW2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=7.896957777777778, timeString=07.90, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718032, subwayLine=YUS, stationId=SHW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=14.10550888888889, timeString=14.11, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718033, subwayLine=YUS, stationId=SHW1, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718034, subwayLine=YUS, stationId=SHW1, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=7.896957777777778, timeString=07.90, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718035, subwayLine=YUS, stationId=SHW1, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=14.10550888888889, timeString=14.11, trainDestination=SHW2, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718036, subwayLine=YUS, stationId=WIL1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=3.4913132444444446, timeString=03.49, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718037, subwayLine=YUS, stationId=YKD1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=5.506815466666667, timeString=05.51, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718038, subwayLine=YUS, stationId=LWW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=7.52513991111111, timeString=07.53, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718039, subwayLine=YUS, stationId=GCN1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=8.8836288, timeString=08.88, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718040, subwayLine=YUS, stationId=EGW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=10.703833244444443, timeString=10.70, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718041, subwayLine=YUS, stationId=SCW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=15.403268800000001, timeString=15.40, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718042, subwayLine=YUS, stationId=DUP1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=1.4764629629629629, timeString=01.48, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718043, subwayLine=YUS, stationId=DUP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=18.027806577777778, timeString=18.03, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718044, subwayLine=YUS, stationId=SPA1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=2.477094074074074, timeString=02.48, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718045, subwayLine=YUS, stationId=SPA1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=19.02843768888889, timeString=19.03, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718046, subwayLine=YUS, stationId=SGU1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=3.6067007407407408, timeString=03.61, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718047, subwayLine=YUS, stationId=SGU1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=20.158044355555557, timeString=20.16, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718048, subwayLine=YUS, stationId=MUS1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=4.808697407407407, timeString=04.81, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718049, subwayLine=YUS, stationId=MUS1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=21.36004102222222, timeString=21.36, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718050, subwayLine=YUS, stationId=QPK1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=6.0712307407407415, timeString=06.07, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718051, subwayLine=YUS, stationId=QPK1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=22.622574355555553, timeString=22.62, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718052, subwayLine=YUS, stationId=STP1, trainId=117, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718053, subwayLine=YUS, stationId=STP1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=7.222004074074073, timeString=07.22, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718054, subwayLine=YUS, stationId=STP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=23.773347688888887, timeString=23.77, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718055, subwayLine=YUS, stationId=OSG1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=0.7511466666666666, timeString=00.75, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718056, subwayLine=YUS, stationId=OSG1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=7.97315074074074, timeString=07.97, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718057, subwayLine=YUS, stationId=OSG1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=24.524494355555554, timeString=24.52, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718058, subwayLine=YUS, stationId=STA1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=1.5849844444444445, timeString=01.58, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718059, subwayLine=YUS, stationId=STA1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=8.806988518518517, timeString=08.81, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718060, subwayLine=YUS, stationId=STA1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=25.358332133333327, timeString=25.36, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718061, subwayLine=YUS, stationId=UNI1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=0.4893733333333333, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718062, subwayLine=YUS, stationId=UNI1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=2.4919177777777777, timeString=02.49, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718063, subwayLine=YUS, stationId=UNI1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=9.71392185185185, timeString=09.71, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718064, subwayLine=YUS, stationId=KNG1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=1.2842644444444442, timeString=01.28, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718065, subwayLine=YUS, stationId=KNG1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=3.286808888888889, timeString=03.29, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718066, subwayLine=YUS, stationId=KNG1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=10.508812962962963, timeString=10.51, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718067, subwayLine=YUS, stationId=QUN1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=2.1099177777777776, timeString=02.11, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718068, subwayLine=YUS, stationId=QUN1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=4.112462222222222, timeString=04.11, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718069, subwayLine=YUS, stationId=QUN1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=11.334466296296295, timeString=11.33, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718070, subwayLine=YUS, stationId=DUN1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=2.8644511111111113, timeString=02.86, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718071, subwayLine=YUS, stationId=DUN1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=4.8669955555555555, timeString=04.87, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718072, subwayLine=YUS, stationId=DUN1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=12.088999629629628, timeString=12.09, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718073, subwayLine=YUS, stationId=COL1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=3.731308888888889, timeString=03.73, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718074, subwayLine=YUS, stationId=COL1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=5.733853333333334, timeString=05.73, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718075, subwayLine=YUS, stationId=COL1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=12.955857407407404, timeString=12.96, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718076, subwayLine=YUS, stationId=WEL1, trainId=115, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718077, subwayLine=YUS, stationId=WEL1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=4.6489666666666665, timeString=04.65, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718078, subwayLine=YUS, stationId=WEL1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=6.651511111111111, timeString=06.65, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718079, subwayLine=YUS, stationId=BLO1, trainId=114, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718080, subwayLine=YUS, stationId=BLO1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=0.9543466666666667, timeString=00.95, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718081, subwayLine=YUS, stationId=BLO1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=5.6033133333333325, timeString=05.60, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718082, subwayLine=YUS, stationId=ROS1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=1.3285733333333334, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718083, subwayLine=YUS, stationId=ROS1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=2.28292, timeString=02.28, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718084, subwayLine=YUS, stationId=ROS1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=6.931886666666667, timeString=06.93, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
NTASData [id=16593718085, subwayLine=YUS, stationId=SUM1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=2.357991111111111, timeString=02.36, trainDestination=FIN1, createDate=Sun Sep 17 11:03:38 EDT 2017, systemMessageType=Normal]
