NTASData [id=16593282851, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=0.20536912751677852, timeString=00.21, trainDestination=DML2, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593282852, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=6.290536912751677, timeString=06.29, trainDestination=DML1, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593282853, subwayLine=SHEP, stationId=LES2, trainId=463, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593282854, subwayLine=SHEP, stationId=BSS2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=1.5959395973154362, timeString=01.60, trainDestination=YIE2, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593282855, subwayLine=SHEP, stationId=BYV2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=3.3871812080536916, timeString=03.39, trainDestination=YIE2, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593282856, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=2.7906040268456374, timeString=02.79, trainDestination=YIE2, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593282857, subwayLine=SHEP, stationId=YIE2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=7.528087248322147, timeString=07.53, trainDestination=YIE2, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593282858, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=2.7906040268456374, timeString=02.79, trainDestination=YIE2, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593282859, subwayLine=SHEP, stationId=YIE1, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=7.528087248322147, timeString=07.53, trainDestination=YIE2, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593282860, subwayLine=SHEP, stationId=BSS1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=1.197986577181208, timeString=01.20, trainDestination=DML1, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593282861, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=2.7858724832214765, timeString=02.79, trainDestination=DML1, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593282862, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=0.20536912751677852, timeString=00.21, trainDestination=DML2, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593282863, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=6.290536912751677, timeString=06.29, trainDestination=DML1, createDate=Sun Sep 17 10:30:29 EDT 2017, systemMessageType=Normal]
