NTASData [id=16594141584, subwayLine=YUS, stationId=STA2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=0.6716888888888889, timeString=00.67, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594141585, subwayLine=YUS, stationId=STA2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=3.31616, timeString=03.32, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594141586, subwayLine=YUS, stationId=STA2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=7.656786666666667, timeString=07.66, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594141587, subwayLine=YUS, stationId=OSG2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=1.3669555555555557, timeString=01.37, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594141588, subwayLine=YUS, stationId=OSG2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=4.011426666666667, timeString=04.01, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594141589, subwayLine=YUS, stationId=OSG2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=8.352053333333334, timeString=08.35, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594141590, subwayLine=YUS, stationId=STP2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=2.1209244444444444, timeString=02.12, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594141591, subwayLine=YUS, stationId=STP2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=4.765395555555555, timeString=04.77, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594141592, subwayLine=YUS, stationId=STP2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=9.106022222222222, timeString=09.11, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594141593, subwayLine=YUS, stationId=QPK2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=3.263231111111111, timeString=03.26, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594141594, subwayLine=YUS, stationId=QPK2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=5.9077022222222215, timeString=05.91, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594141595, subwayLine=YUS, stationId=QPK2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=10.248328888888889, timeString=10.25, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594141596, subwayLine=YUS, stationId=MUS2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=4.5257644444444445, timeString=04.53, trainDestination=SHW2, createDate=Sun Sep 17 11:34:30 EDT 2017, systemMessageType=Normal]
