NTASData [id=16593332192, subwayLine=BD, stationId=KEN1, trainId=296, trainMessage=Delayed, trainDirection=East, timeInt=0.2914756160990713, timeString=00.29, trainDestination=KEN1, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332193, subwayLine=BD, stationId=KEN1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=4.041880138699691, timeString=04.04, trainDestination=KEN1, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332194, subwayLine=BD, stationId=KEN1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=6.804046038390094, timeString=06.80, trainDestination=KEN1, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332195, subwayLine=BD, stationId=KEN2, trainId=211, trainMessage=Delayed, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332196, subwayLine=BD, stationId=KEN2, trainId=296, trainMessage=Delayed, trainDirection=East, timeInt=0.2914756160990713, timeString=00.29, trainDestination=KEN1, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332197, subwayLine=BD, stationId=KEN2, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=4.041880138699691, timeString=04.04, trainDestination=KEN1, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332198, subwayLine=BD, stationId=WAR2, trainId=210, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332199, subwayLine=BD, stationId=VPK2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=3.948100235294118, timeString=03.95, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332200, subwayLine=BD, stationId=MST2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=6.187603021671828, timeString=06.19, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332201, subwayLine=BD, stationId=WDB2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=1.4788933746130033, timeString=01.48, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332202, subwayLine=BD, stationId=WDB2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=7.921496396284831, timeString=07.92, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332203, subwayLine=BD, stationId=COX2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=2.786161114551084, timeString=02.79, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332204, subwayLine=BD, stationId=COX2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=9.228764136222912, timeString=09.23, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332205, subwayLine=BD, stationId=GWD2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=3.729084334365325, timeString=03.73, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332206, subwayLine=BD, stationId=GWD2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=10.171687356037154, timeString=10.17, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332207, subwayLine=BD, stationId=DON2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=0.6933020433436533, timeString=00.69, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332208, subwayLine=BD, stationId=DON2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=4.920565820433437, timeString=04.92, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332209, subwayLine=BD, stationId=DON2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=11.363168842105264, timeString=11.36, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16593332210, subwayLine=BD, stationId=PAP2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=1.6237690402476783, timeString=01.62, trainDestination=KIP2, createDate=Sun Sep 17 10:34:08 EDT 2017, systemMessageType=Normal]
