NTASData [id=16593954881, subwayLine=YUS, stationId=SGU1, trainId=3, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954882, subwayLine=YUS, stationId=SGU1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=9.45421111111111, timeString=09.45, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954883, subwayLine=YUS, stationId=SGU1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=10.787822222222221, timeString=10.79, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954884, subwayLine=YUS, stationId=MUS1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954885, subwayLine=YUS, stationId=MUS1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=10.656207777777778, timeString=10.66, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954886, subwayLine=YUS, stationId=MUS1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=11.98981888888889, timeString=11.99, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954887, subwayLine=YUS, stationId=QPK1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=0.20997333333333332, timeString=00.21, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954888, subwayLine=YUS, stationId=QPK1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=2.46453, timeString=02.46, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954889, subwayLine=YUS, stationId=QPK1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=11.918741111111112, timeString=11.92, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954890, subwayLine=YUS, stationId=STP1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=1.3607466666666665, timeString=01.36, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954891, subwayLine=YUS, stationId=STP1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=3.6153033333333333, timeString=03.62, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954892, subwayLine=YUS, stationId=STP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=13.069514444444446, timeString=13.07, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954893, subwayLine=YUS, stationId=OSG1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=2.111893333333333, timeString=02.11, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954894, subwayLine=YUS, stationId=OSG1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=4.36645, timeString=04.37, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954895, subwayLine=YUS, stationId=OSG1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=13.82066111111111, timeString=13.82, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954896, subwayLine=YUS, stationId=STA1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=2.9457311111111113, timeString=02.95, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954897, subwayLine=YUS, stationId=STA1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=5.200287777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954898, subwayLine=YUS, stationId=STA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=14.65449888888889, timeString=14.65, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954899, subwayLine=YUS, stationId=UNI1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=3.8526644444444447, timeString=03.85, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954900, subwayLine=YUS, stationId=UNI1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=6.1072211111111105, timeString=06.11, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954901, subwayLine=YUS, stationId=UNI1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=15.561432222222223, timeString=15.56, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954902, subwayLine=YUS, stationId=KNG1, trainId=102, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954903, subwayLine=YUS, stationId=KNG1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=4.647555555555556, timeString=04.65, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954904, subwayLine=YUS, stationId=KNG1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=6.902112222222222, timeString=06.90, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954905, subwayLine=YUS, stationId=QUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=0.8256533333333334, timeString=00.83, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954906, subwayLine=YUS, stationId=QUN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=5.473208888888889, timeString=05.47, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954907, subwayLine=YUS, stationId=QUN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=7.727765555555553, timeString=07.73, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954908, subwayLine=YUS, stationId=DUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.5801866666666666, timeString=01.58, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954909, subwayLine=YUS, stationId=DUN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=6.227742222222222, timeString=06.23, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954910, subwayLine=YUS, stationId=DUN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=8.482298888888888, timeString=08.48, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954911, subwayLine=YUS, stationId=COL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.447044444444445, timeString=02.45, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954912, subwayLine=YUS, stationId=COL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=7.0946, timeString=07.09, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954913, subwayLine=YUS, stationId=COL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=9.349156666666666, timeString=09.35, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954914, subwayLine=YUS, stationId=WEL1, trainId=16, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954915, subwayLine=YUS, stationId=WEL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=3.3647022222222223, timeString=03.36, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954916, subwayLine=YUS, stationId=WEL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=8.012257777777778, timeString=08.01, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954917, subwayLine=YUS, stationId=BLO1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=0.9543466666666667, timeString=00.95, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954918, subwayLine=YUS, stationId=BLO1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=4.319048888888888, timeString=04.32, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954919, subwayLine=YUS, stationId=BLO1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=8.966604444444444, timeString=08.97, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954920, subwayLine=YUS, stationId=ROS1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=2.28292, timeString=02.28, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954921, subwayLine=YUS, stationId=ROS1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=5.647622222222223, timeString=05.65, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954922, subwayLine=YUS, stationId=ROS1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=10.295177777777777, timeString=10.30, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954923, subwayLine=YUS, stationId=SUM1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=3.312337777777778, timeString=03.31, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954924, subwayLine=YUS, stationId=SUM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=6.67704, timeString=06.68, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954925, subwayLine=YUS, stationId=SUM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=11.324595555555554, timeString=11.32, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954926, subwayLine=YUS, stationId=STC1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=4.720497777777778, timeString=04.72, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954927, subwayLine=YUS, stationId=STC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=8.0852, timeString=08.09, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954928, subwayLine=YUS, stationId=STC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=12.732755555555554, timeString=12.73, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954929, subwayLine=YUS, stationId=DAV1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=6.752933333333333, timeString=06.75, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954930, subwayLine=YUS, stationId=DAV1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=10.117635555555555, timeString=10.12, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954931, subwayLine=YUS, stationId=DAV1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=14.76519111111111, timeString=14.77, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954932, subwayLine=YUS, stationId=EGL1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=1.0408355555555555, timeString=01.04, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954933, subwayLine=YUS, stationId=EGL1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=8.367115555555555, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954934, subwayLine=YUS, stationId=EGL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=11.731817777777776, timeString=11.73, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954935, subwayLine=YUS, stationId=LAW1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=5.332742222222222, timeString=05.33, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954936, subwayLine=YUS, stationId=LAW1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=12.659022222222221, timeString=12.66, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954937, subwayLine=YUS, stationId=LAW1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=16.023724444444444, timeString=16.02, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954938, subwayLine=YUS, stationId=YKM1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=2.6726444444444444, timeString=02.67, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954939, subwayLine=YUS, stationId=YKM1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=8.847408888888888, timeString=08.85, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954940, subwayLine=YUS, stationId=YKM1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=16.17368888888889, timeString=16.17, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954941, subwayLine=YUS, stationId=SHP1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=1.1300177777777778, timeString=01.13, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954942, subwayLine=YUS, stationId=SHP1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=6.258995555555556, timeString=06.26, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954943, subwayLine=YUS, stationId=SHP1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=12.433760000000001, timeString=12.43, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954944, subwayLine=YUS, stationId=NYC1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=2.5912355555555555, timeString=02.59, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954945, subwayLine=YUS, stationId=NYC1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=7.720213333333333, timeString=07.72, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954946, subwayLine=YUS, stationId=NYC1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=13.894977777777777, timeString=13.89, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954947, subwayLine=YUS, stationId=FIN1, trainId=111, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954948, subwayLine=YUS, stationId=FIN1, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=0.33697333333333335, timeString=00.34, trainDestination=FIN2, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954949, subwayLine=YUS, stationId=FIN1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=5.198275555555555, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954950, subwayLine=YUS, stationId=FIN2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=0.33697333333333335, timeString=00.34, trainDestination=FIN2, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954951, subwayLine=YUS, stationId=FIN2, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=5.198275555555555, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954952, subwayLine=YUS, stationId=FIN2, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=10.327253333333333, timeString=10.33, trainDestination=FIN1, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954953, subwayLine=YUS, stationId=NYC2, trainId=110, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593954954, subwayLine=YUS, stationId=SHP2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=1.4606533333333336, timeString=01.46, trainDestination=SHW2, createDate=Sun Sep 17 11:20:49 EDT 2017, systemMessageType=Normal]
