NTASData [id=16594926675, subwayLine=SHEP, stationId=LES1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=0.2657718120805369, timeString=00.27, trainDestination=DML1, createDate=Sun Sep 17 12:34:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594926676, subwayLine=SHEP, stationId=LES1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=6.431476510067114, timeString=06.43, trainDestination=DML1, createDate=Sun Sep 17 12:34:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594926677, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=3.770436241610738, timeString=03.77, trainDestination=DML1, createDate=Sun Sep 17 12:34:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594926678, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=9.936140939597315, timeString=09.94, trainDestination=DML1, createDate=Sun Sep 17 12:34:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594926679, subwayLine=SHEP, stationId=DML2, trainId=462, trainMessage=Delayed, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 12:34:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594926680, subwayLine=SHEP, stationId=DML2, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=3.770436241610738, timeString=03.77, trainDestination=DML1, createDate=Sun Sep 17 12:34:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594926681, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=9.936140939597315, timeString=09.94, trainDestination=DML1, createDate=Sun Sep 17 12:34:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594926682, subwayLine=SHEP, stationId=BYV2, trainId=461, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 12:34:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594926683, subwayLine=SHEP, stationId=YIE2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=4.140906040268456, timeString=04.14, trainDestination=YIE2, createDate=Sun Sep 17 12:34:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594926684, subwayLine=SHEP, stationId=YIE1, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=4.140906040268456, timeString=04.14, trainDestination=YIE2, createDate=Sun Sep 17 12:34:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594926685, subwayLine=SHEP, stationId=BYV1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.0563758389261744, timeString=03.06, trainDestination=DML1, createDate=Sun Sep 17 12:34:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594926686, subwayLine=SHEP, stationId=BSS1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=4.843590604026845, timeString=04.84, trainDestination=DML1, createDate=Sun Sep 17 12:34:55 EDT 2017, systemMessageType=Normal]
