NTASData [id=16594077647, subwayLine=YUS, stationId=KNG1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=4.182582222222223, timeString=04.18, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077648, subwayLine=YUS, stationId=KNG1, trainId=18, trainMessage=Arriving, trainDirection=North, timeInt=7.185745555555554, timeString=07.19, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077649, subwayLine=YUS, stationId=QUN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=2.527477777777778, timeString=02.53, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077650, subwayLine=YUS, stationId=QUN1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=5.008235555555556, timeString=05.01, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077651, subwayLine=YUS, stationId=QUN1, trainId=18, trainMessage=Arriving, trainDirection=North, timeInt=8.011398888888888, timeString=08.01, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077652, subwayLine=YUS, stationId=DUN1, trainId=101, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077653, subwayLine=YUS, stationId=DUN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=3.282011111111111, timeString=03.28, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077654, subwayLine=YUS, stationId=DUN1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=5.762768888888889, timeString=05.76, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077655, subwayLine=YUS, stationId=COL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=0.8668577777777778, timeString=00.87, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077656, subwayLine=YUS, stationId=COL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=4.148868888888889, timeString=04.15, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077657, subwayLine=YUS, stationId=COL1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=6.629626666666667, timeString=06.63, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077658, subwayLine=YUS, stationId=WEL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=1.7845155555555554, timeString=01.78, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077659, subwayLine=YUS, stationId=WEL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=5.066526666666666, timeString=05.07, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077660, subwayLine=YUS, stationId=WEL1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=7.547284444444445, timeString=07.55, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077661, subwayLine=YUS, stationId=BLO1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=2.7388622222222225, timeString=02.74, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077662, subwayLine=YUS, stationId=BLO1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=6.020873333333332, timeString=06.02, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077663, subwayLine=YUS, stationId=BLO1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=8.501631111111111, timeString=08.50, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077664, subwayLine=YUS, stationId=ROS1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=4.067435555555556, timeString=04.07, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077665, subwayLine=YUS, stationId=ROS1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=7.349446666666667, timeString=07.35, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077666, subwayLine=YUS, stationId=ROS1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=9.830204444444444, timeString=09.83, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077667, subwayLine=YUS, stationId=SUM1, trainId=102, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077668, subwayLine=YUS, stationId=SUM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=5.096853333333334, timeString=05.10, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077669, subwayLine=YUS, stationId=SUM1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=8.378864444444444, timeString=08.38, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077670, subwayLine=YUS, stationId=STC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.40816, timeString=01.41, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077671, subwayLine=YUS, stationId=STC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=6.505013333333332, timeString=06.51, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
