NTASData [id=16594412724, subwayLine=BD, stationId=DUF2, trainId=221, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412725, subwayLine=BD, stationId=DUF2, trainId=222, trainMessage=Arriving, trainDirection=West, timeInt=4.514304579566565, timeString=04.51, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412726, subwayLine=BD, stationId=DUF2, trainId=201, trainMessage=Arriving, trainDirection=West, timeInt=8.340987551702787, timeString=08.34, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412727, subwayLine=BD, stationId=LAN2, trainId=221, trainMessage=Arriving, trainDirection=West, timeInt=0.8257214860681116, timeString=00.83, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412728, subwayLine=BD, stationId=LAN2, trainId=222, trainMessage=Arriving, trainDirection=West, timeInt=5.340026065634676, timeString=05.34, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412729, subwayLine=BD, stationId=LAN2, trainId=201, trainMessage=Arriving, trainDirection=West, timeInt=9.166709037770898, timeString=09.17, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412730, subwayLine=BD, stationId=DNW2, trainId=221, trainMessage=Arriving, trainDirection=West, timeInt=2.2091420433436535, timeString=02.21, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412731, subwayLine=BD, stationId=DNW2, trainId=222, trainMessage=Arriving, trainDirection=West, timeInt=6.723446622910217, timeString=06.72, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412732, subwayLine=BD, stationId=DNW2, trainId=201, trainMessage=Arriving, trainDirection=West, timeInt=10.55012959504644, timeString=10.55, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412733, subwayLine=BD, stationId=KEL2, trainId=221, trainMessage=Arriving, trainDirection=West, timeInt=3.3449951702786382, timeString=03.34, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412734, subwayLine=BD, stationId=KEL2, trainId=222, trainMessage=Arriving, trainDirection=West, timeInt=7.859299749845201, timeString=07.86, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412735, subwayLine=BD, stationId=KEL2, trainId=201, trainMessage=Arriving, trainDirection=West, timeInt=11.685982721981425, timeString=11.69, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412736, subwayLine=BD, stationId=HPK2, trainId=220, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412737, subwayLine=BD, stationId=HPK2, trainId=221, trainMessage=Arriving, trainDirection=West, timeInt=4.540723095975233, timeString=04.54, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412738, subwayLine=BD, stationId=HPK2, trainId=222, trainMessage=Arriving, trainDirection=West, timeInt=9.055027675541796, timeString=09.06, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412739, subwayLine=BD, stationId=RUN2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=1.2203572755417957, timeString=01.22, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412740, subwayLine=BD, stationId=RUN2, trainId=221, trainMessage=Arriving, trainDirection=West, timeInt=5.7610803715170285, timeString=05.76, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412741, subwayLine=BD, stationId=RUN2, trainId=222, trainMessage=Arriving, trainDirection=West, timeInt=10.275384951083593, timeString=10.28, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412742, subwayLine=BD, stationId=JNE2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=2.4352224891640866, timeString=02.44, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412743, subwayLine=BD, stationId=JNE2, trainId=221, trainMessage=Arriving, trainDirection=West, timeInt=6.9759455851393195, timeString=06.98, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412744, subwayLine=BD, stationId=JNE2, trainId=222, trainMessage=Arriving, trainDirection=West, timeInt=11.490250164705882, timeString=11.49, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412745, subwayLine=BD, stationId=OML2, trainId=219, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412746, subwayLine=BD, stationId=OML2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=4.038891715170279, timeString=04.04, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412747, subwayLine=BD, stationId=OML2, trainId=221, trainMessage=Arriving, trainDirection=West, timeInt=8.579614811145511, timeString=08.58, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412748, subwayLine=BD, stationId=RYK2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=2.4172530873065017, timeString=02.42, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412749, subwayLine=BD, stationId=RYK2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=6.45614480247678, timeString=06.46, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412750, subwayLine=BD, stationId=RYK2, trainId=221, trainMessage=Arriving, trainDirection=West, timeInt=10.996867898452013, timeString=11.00, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412751, subwayLine=BD, stationId=ISL2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=1.5148465634674924, timeString=01.51, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412752, subwayLine=BD, stationId=ISL2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=4.644746942414861, timeString=04.64, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412753, subwayLine=BD, stationId=ISL2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=8.68363865758514, timeString=08.68, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412754, subwayLine=BD, stationId=KIP2, trainId=217, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412755, subwayLine=BD, stationId=KIP2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=3.863245047678019, timeString=03.86, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412756, subwayLine=BD, stationId=KIP2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=6.993145426625388, timeString=06.99, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412757, subwayLine=BD, stationId=KIP1, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=3.863245047678019, timeString=03.86, trainDestination=KIP2, createDate=Sun Sep 17 11:55:02 EDT 2017, systemMessageType=Normal]
