NTASData [id=16593587144, subwayLine=BD, stationId=BAU2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=0.2819635913312694, timeString=00.28, trainDestination=KIP2, createDate=Sun Sep 17 10:53:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593587145, subwayLine=BD, stationId=BAU2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=4.474478637770899, timeString=04.47, trainDestination=KIP2, createDate=Sun Sep 17 10:53:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593587146, subwayLine=BD, stationId=BAU2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=10.3244058501548, timeString=10.32, trainDestination=KIP2, createDate=Sun Sep 17 10:53:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593587147, subwayLine=BD, stationId=SGL2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=1.4100315789473687, timeString=01.41, trainDestination=KIP2, createDate=Sun Sep 17 10:53:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593587148, subwayLine=BD, stationId=SGL2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=5.6025466253869975, timeString=05.60, trainDestination=KIP2, createDate=Sun Sep 17 10:53:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593587149, subwayLine=BD, stationId=SGL2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=11.4524738377709, timeString=11.45, trainDestination=KIP2, createDate=Sun Sep 17 10:53:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593587150, subwayLine=BD, stationId=BSP2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=2.21579479876161, timeString=02.22, trainDestination=KIP2, createDate=Sun Sep 17 10:53:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593587151, subwayLine=BD, stationId=BSP2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=6.40830984520124, timeString=06.41, trainDestination=KIP2, createDate=Sun Sep 17 10:53:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593587152, subwayLine=BD, stationId=BSP2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=12.258237057585141, timeString=12.26, trainDestination=KIP2, createDate=Sun Sep 17 10:53:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593587153, subwayLine=BD, stationId=BAT2, trainId=209, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:53:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593587154, subwayLine=BD, stationId=BAT2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=3.1468279876160996, timeString=03.15, trainDestination=KIP2, createDate=Sun Sep 17 10:53:19 EDT 2017, systemMessageType=Normal]
