NTASData [id=16592917595, subwayLine=SHEP, stationId=BYV2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=1.0469798657718121, timeString=01.05, trainDestination=YIE2, createDate=Sun Sep 17 10:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592917596, subwayLine=SHEP, stationId=YIE2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=0.3322147651006711, timeString=00.33, trainDestination=YIE1, createDate=Sun Sep 17 10:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592917597, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=5.187885906040268, timeString=05.19, trainDestination=YIE2, createDate=Sun Sep 17 10:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592917598, subwayLine=SHEP, stationId=YIE1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=0.3322147651006711, timeString=00.33, trainDestination=YIE1, createDate=Sun Sep 17 10:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592917599, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=5.187885906040268, timeString=05.19, trainDestination=YIE2, createDate=Sun Sep 17 10:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592917600, subwayLine=SHEP, stationId=LES1, trainId=464, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=DML1, createDate=Sun Sep 17 10:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592917601, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.504664429530201, timeString=03.50, trainDestination=DML1, createDate=Sun Sep 17 10:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592917602, subwayLine=SHEP, stationId=DML2, trainId=463, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:05:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592917603, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.504664429530201, timeString=03.50, trainDestination=DML1, createDate=Sun Sep 17 10:05:32 EDT 2017, systemMessageType=Normal]
