NTASData [id=16595218975, subwayLine=YUS, stationId=SPA2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=7.660019999999999, timeString=07.66, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218976, subwayLine=YUS, stationId=DUP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=2.9018333333333333, timeString=02.90, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218977, subwayLine=YUS, stationId=DUP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=4.587571111111111, timeString=04.59, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218978, subwayLine=YUS, stationId=DUP2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=8.657828888888888, timeString=08.66, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218979, subwayLine=YUS, stationId=SCW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=5.526371111111112, timeString=05.53, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218980, subwayLine=YUS, stationId=SCW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=7.2121088888888885, timeString=07.21, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218981, subwayLine=YUS, stationId=SCW2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=11.282366666666666, timeString=11.28, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218982, subwayLine=YUS, stationId=EGW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=10.339542222222223, timeString=10.34, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218983, subwayLine=YUS, stationId=EGW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=12.02528, timeString=12.03, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218984, subwayLine=YUS, stationId=EGW2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=16.09553777777778, timeString=16.10, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
