NTASData [id=16594937874, subwayLine=YUS, stationId=WEL1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=3.74288, timeString=03.74, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937875, subwayLine=YUS, stationId=WEL1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=7.138626666666667, timeString=07.14, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937876, subwayLine=YUS, stationId=BLO1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=1.8720044444444444, timeString=01.87, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937877, subwayLine=YUS, stationId=BLO1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=4.697226666666666, timeString=04.70, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937878, subwayLine=YUS, stationId=BLO1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=8.092973333333333, timeString=08.09, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937879, subwayLine=YUS, stationId=ROS1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=3.2005777777777777, timeString=03.20, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937880, subwayLine=YUS, stationId=ROS1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=6.0258, timeString=06.03, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937881, subwayLine=YUS, stationId=ROS1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=9.421546666666666, timeString=09.42, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937882, subwayLine=YUS, stationId=SUM1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=4.229995555555556, timeString=04.23, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937883, subwayLine=YUS, stationId=SUM1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=7.055217777777777, timeString=07.06, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937884, subwayLine=YUS, stationId=SUM1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=10.450964444444445, timeString=10.45, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937885, subwayLine=YUS, stationId=STC1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=0.7518400000000001, timeString=00.75, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937886, subwayLine=YUS, stationId=STC1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=5.6381555555555565, timeString=05.64, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937887, subwayLine=YUS, stationId=STC1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=8.463377777777778, timeString=08.46, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937888, subwayLine=YUS, stationId=DAV1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=1.3230577777777777, timeString=01.32, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937889, subwayLine=YUS, stationId=DAV1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=2.7842755555555554, timeString=02.78, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16594937890, subwayLine=YUS, stationId=DAV1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=7.670591111111111, timeString=07.67, trainDestination=FIN1, createDate=Sun Sep 17 12:35:48 EDT 2017, systemMessageType=Normal]
