NTASData [id=16594510629, subwayLine=YUS, stationId=KNG2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=5.66116888888889, timeString=05.66, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510630, subwayLine=YUS, stationId=KNG2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=10.12328, timeString=10.12, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510631, subwayLine=YUS, stationId=UNI2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=3.256328888888889, timeString=03.26, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510632, subwayLine=YUS, stationId=UNI2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=6.468195555555555, timeString=06.47, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510633, subwayLine=YUS, stationId=UNI2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=10.930306666666667, timeString=10.93, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510634, subwayLine=YUS, stationId=STA2, trainId=114, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510635, subwayLine=YUS, stationId=STA2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=4.183017777777778, timeString=04.18, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510636, subwayLine=YUS, stationId=STA2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=7.394884444444443, timeString=07.39, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510637, subwayLine=YUS, stationId=OSG2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=0.6952666666666667, timeString=00.70, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510638, subwayLine=YUS, stationId=OSG2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=4.878284444444445, timeString=04.88, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510639, subwayLine=YUS, stationId=OSG2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=8.09015111111111, timeString=08.09, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510640, subwayLine=YUS, stationId=STP2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=1.4492355555555556, timeString=01.45, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510641, subwayLine=YUS, stationId=STP2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=5.632253333333333, timeString=05.63, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510642, subwayLine=YUS, stationId=STP2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=8.84412, timeString=08.84, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510643, subwayLine=YUS, stationId=QPK2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=0.8873066666666667, timeString=00.89, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510644, subwayLine=YUS, stationId=QPK2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=2.591542222222222, timeString=02.59, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510645, subwayLine=YUS, stationId=QPK2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=6.774559999999999, timeString=06.77, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510646, subwayLine=YUS, stationId=MUS2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=1.0075333333333334, timeString=01.01, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
