NTASData [id=16594530098, subwayLine=YUS, stationId=STC2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=0.3770488888888889, timeString=00.38, trainDestination=SHW2, createDate=Sun Sep 17 12:04:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594530099, subwayLine=YUS, stationId=STC2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=10.810417777777777, timeString=10.81, trainDestination=SHW2, createDate=Sun Sep 17 12:04:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594530100, subwayLine=YUS, stationId=SUM2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=1.7812577777777778, timeString=01.78, trainDestination=SHW2, createDate=Sun Sep 17 12:04:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594530101, subwayLine=YUS, stationId=SUM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=12.214626666666668, timeString=12.21, trainDestination=SHW2, createDate=Sun Sep 17 12:04:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594530102, subwayLine=YUS, stationId=ROS2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.7999511111111115, timeString=02.80, trainDestination=SHW2, createDate=Sun Sep 17 12:04:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594530103, subwayLine=YUS, stationId=ROS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=13.23332, timeString=13.23, trainDestination=SHW2, createDate=Sun Sep 17 12:04:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594530104, subwayLine=YUS, stationId=BLO2, trainId=117, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:04:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594530105, subwayLine=YUS, stationId=BLO2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=4.12796, timeString=04.13, trainDestination=SHW2, createDate=Sun Sep 17 12:04:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594530106, subwayLine=YUS, stationId=BLO2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=14.56132888888889, timeString=14.56, trainDestination=SHW2, createDate=Sun Sep 17 12:04:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594530107, subwayLine=YUS, stationId=WEL2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.9543466666666667, timeString=00.95, trainDestination=SHW2, createDate=Sun Sep 17 12:04:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594530108, subwayLine=YUS, stationId=WEL2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=5.082306666666668, timeString=05.08, trainDestination=SHW2, createDate=Sun Sep 17 12:04:06 EDT 2017, systemMessageType=Normal]
