NTASData [id=16593512557, subwayLine=BD, stationId=SHE1, trainId=219, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512558, subwayLine=BD, stationId=SHE1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=4.402289164086689, timeString=04.40, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512559, subwayLine=BD, stationId=SHE1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=8.2678525374613, timeString=08.27, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512560, subwayLine=BD, stationId=CFK1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=1.03804346749226, timeString=01.04, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512561, subwayLine=BD, stationId=CFK1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=5.440332631578949, timeString=05.44, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512562, subwayLine=BD, stationId=CFK1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=9.30589600495356, timeString=09.31, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512563, subwayLine=BD, stationId=BRD1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=2.612553808049536, timeString=02.61, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512564, subwayLine=BD, stationId=BRD1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=7.014842972136224, timeString=07.01, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512565, subwayLine=BD, stationId=BRD1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=10.880406345510837, timeString=10.88, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512566, subwayLine=BD, stationId=CHE1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=3.6510219195046445, timeString=03.65, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512567, subwayLine=BD, stationId=CHE1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=8.053311083591332, timeString=08.05, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512568, subwayLine=BD, stationId=CHE1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=11.918874456965943, timeString=11.92, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512569, subwayLine=BD, stationId=PAP1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=0.7141095975232199, timeString=00.71, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512570, subwayLine=BD, stationId=PAP1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=4.620131517027865, timeString=04.62, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512571, subwayLine=BD, stationId=PAP1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=9.022420681114552, timeString=09.02, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593512572, subwayLine=BD, stationId=DON1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=1.6527863777089782, timeString=01.65, trainDestination=KEN1, createDate=Sun Sep 17 10:47:47 EDT 2017, systemMessageType=Normal]
