NTASData [id=16594185971, subwayLine=YUS, stationId=YKM2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=0.2822222222222222, timeString=00.28, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185972, subwayLine=YUS, stationId=YKM2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=5.735626666666667, timeString=05.74, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185973, subwayLine=YUS, stationId=LAW2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=3.7951955555555554, timeString=03.80, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185974, subwayLine=YUS, stationId=LAW2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=9.248600000000001, timeString=09.25, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185975, subwayLine=YUS, stationId=EGL2, trainId=111, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185976, subwayLine=YUS, stationId=EGL2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=3.4713333333333334, timeString=03.47, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185977, subwayLine=YUS, stationId=EGL2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=8.078071111111111, timeString=08.08, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185978, subwayLine=YUS, stationId=DAV2, trainId=111, trainMessage=Delayed, trainDirection=South, timeInt=1.6096666666666666, timeString=01.61, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185979, subwayLine=YUS, stationId=DAV2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=5.0809999999999995, timeString=05.08, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185980, subwayLine=YUS, stationId=DAV2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=9.687737777777777, timeString=09.69, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185981, subwayLine=YUS, stationId=STC2, trainId=111, trainMessage=Delayed, trainDirection=South, timeInt=3.6488755555555556, timeString=03.65, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185982, subwayLine=YUS, stationId=STC2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=7.120208888888889, timeString=07.12, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185983, subwayLine=YUS, stationId=STC2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=11.726946666666665, timeString=11.73, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594185984, subwayLine=YUS, stationId=SUM2, trainId=111, trainMessage=Delayed, trainDirection=South, timeInt=5.053084444444444, timeString=05.05, trainDestination=SHW2, createDate=Sun Sep 17 11:37:51 EDT 2017, systemMessageType=Normal]
