NTASData [id=16594502727, subwayLine=YUS, stationId=SGU2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=0.5800795555555556, timeString=00.58, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502728, subwayLine=YUS, stationId=SGU2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=2.4220555555555556, timeString=02.42, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502729, subwayLine=YUS, stationId=SGU2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=3.7805444444444447, timeString=03.78, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502730, subwayLine=YUS, stationId=SPA2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=1.747786222222222, timeString=01.75, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502731, subwayLine=YUS, stationId=SPA2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=3.5897622222222223, timeString=03.59, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502732, subwayLine=YUS, stationId=SPA2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=4.9482511111111105, timeString=04.95, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502733, subwayLine=YUS, stationId=DUP2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=2.745595111111111, timeString=02.75, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502734, subwayLine=YUS, stationId=DUP2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=4.587571111111111, timeString=04.59, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502735, subwayLine=YUS, stationId=DUP2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=5.946060000000001, timeString=05.95, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502736, subwayLine=YUS, stationId=SCW2, trainId=94, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502737, subwayLine=YUS, stationId=SCW2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=5.370132888888889, timeString=05.37, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502738, subwayLine=YUS, stationId=SCW2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=7.2121088888888885, timeString=07.21, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502739, subwayLine=YUS, stationId=EGW2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=4.813171111111111, timeString=04.81, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594502740, subwayLine=YUS, stationId=EGW2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=10.183304, timeString=10.18, trainDestination=SHW2, createDate=Sun Sep 17 12:01:59 EDT 2017, systemMessageType=Normal]
