NTASData [id=16593674131, subwayLine=YUS, stationId=BLO2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=7.399786666666666, timeString=07.40, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674132, subwayLine=YUS, stationId=WEL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=0.9543466666666667, timeString=00.95, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674133, subwayLine=YUS, stationId=WEL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=4.705257777777778, timeString=04.71, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674134, subwayLine=YUS, stationId=WEL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=8.354133333333333, timeString=08.35, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674135, subwayLine=YUS, stationId=COL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=1.8838577777777779, timeString=01.88, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674136, subwayLine=YUS, stationId=COL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=5.634768888888889, timeString=05.63, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674137, subwayLine=YUS, stationId=COL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=9.283644444444443, timeString=09.28, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674138, subwayLine=YUS, stationId=DUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=2.7507155555555554, timeString=02.75, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674139, subwayLine=YUS, stationId=DUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=6.501626666666667, timeString=06.50, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674140, subwayLine=YUS, stationId=DUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=10.15050222222222, timeString=10.15, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674141, subwayLine=YUS, stationId=QUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=3.5075066666666666, timeString=03.51, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674142, subwayLine=YUS, stationId=QUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=7.258417777777778, timeString=07.26, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674143, subwayLine=YUS, stationId=QUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=10.907293333333334, timeString=10.91, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674144, subwayLine=YUS, stationId=KNG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=4.3331599999999995, timeString=04.33, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674145, subwayLine=YUS, stationId=KNG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=8.084071111111111, timeString=08.08, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674146, subwayLine=YUS, stationId=KNG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=11.732946666666665, timeString=11.73, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674147, subwayLine=YUS, stationId=UNI2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=5.140186666666667, timeString=05.14, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674148, subwayLine=YUS, stationId=UNI2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=8.891097777777777, timeString=08.89, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674149, subwayLine=YUS, stationId=UNI2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=12.539973333333332, timeString=12.54, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674150, subwayLine=YUS, stationId=STA2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=0.6716888888888889, timeString=00.67, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674151, subwayLine=YUS, stationId=STA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=6.066875555555555, timeString=06.07, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674152, subwayLine=YUS, stationId=STA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=9.817786666666667, timeString=09.82, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674153, subwayLine=YUS, stationId=OSG2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=1.3669555555555557, timeString=01.37, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674154, subwayLine=YUS, stationId=OSG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=6.762142222222222, timeString=06.76, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674155, subwayLine=YUS, stationId=OSG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=10.513053333333332, timeString=10.51, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674156, subwayLine=YUS, stationId=STP2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=2.1209244444444444, timeString=02.12, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674157, subwayLine=YUS, stationId=STP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=7.516111111111112, timeString=07.52, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674158, subwayLine=YUS, stationId=STP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=11.26702222222222, timeString=11.27, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674159, subwayLine=YUS, stationId=QPK2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=3.263231111111111, timeString=03.26, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674160, subwayLine=YUS, stationId=QPK2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=8.658417777777778, timeString=08.66, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674161, subwayLine=YUS, stationId=QPK2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.409328888888886, timeString=12.41, trainDestination=MUS2, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674162, subwayLine=YUS, stationId=MUS2, trainId=126, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674163, subwayLine=YUS, stationId=MUS2, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:59:51 EDT 2017, systemMessageType=Normal]
