NTASData [id=16594563866, subwayLine=BD, stationId=DON2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=4.920565820433437, timeString=04.92, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563867, subwayLine=BD, stationId=DON2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=11.363168842105264, timeString=11.36, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563868, subwayLine=BD, stationId=PAP2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=1.8669484829721363, timeString=01.87, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563869, subwayLine=BD, stationId=PAP2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=5.851032817337462, timeString=05.85, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563870, subwayLine=BD, stationId=PAP2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=12.29363583900929, timeString=12.29, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563871, subwayLine=BD, stationId=CHE2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=2.8945173993808053, timeString=02.89, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563872, subwayLine=BD, stationId=CHE2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=6.878601733746132, timeString=06.88, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563873, subwayLine=BD, stationId=CHE2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=13.321204755417957, timeString=13.32, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563874, subwayLine=BD, stationId=BRD2, trainId=204, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563875, subwayLine=BD, stationId=BRD2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=3.9725736520123847, timeString=03.97, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563876, subwayLine=BD, stationId=BRD2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=7.95665798637771, timeString=07.96, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563877, subwayLine=BD, stationId=CFK2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=1.3638869349845204, timeString=01.36, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563878, subwayLine=BD, stationId=CFK2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=5.336460586996905, timeString=05.34, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563879, subwayLine=BD, stationId=CFK2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=9.320544921362231, timeString=09.32, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563880, subwayLine=BD, stationId=SHE2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=2.326626873065016, timeString=02.33, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563881, subwayLine=BD, stationId=SHE2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=6.299200525077401, timeString=06.30, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563882, subwayLine=BD, stationId=SHE2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=10.283284859442725, timeString=10.28, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563883, subwayLine=BD, stationId=YNG2, trainId=203, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563884, subwayLine=BD, stationId=YNG2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=3.6840026006191957, timeString=03.68, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563885, subwayLine=BD, stationId=YNG2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=7.656576252631581, timeString=07.66, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563886, subwayLine=BD, stationId=BAU2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=0.7904760371517028, timeString=00.79, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563887, subwayLine=BD, stationId=BAU2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=4.474478637770899, timeString=04.47, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563888, subwayLine=BD, stationId=BAU2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=8.447052289783283, timeString=08.45, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
