NTASData [id=16594465730, subwayLine=YUS, stationId=EGW2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=10.762746666666667, timeString=10.76, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465731, subwayLine=YUS, stationId=EGW2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=12.02528, timeString=12.03, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465732, subwayLine=YUS, stationId=GCN2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=9.25734888888889, timeString=09.26, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465733, subwayLine=YUS, stationId=GCN2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=12.582386666666666, timeString=12.58, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465734, subwayLine=YUS, stationId=GCN2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=13.844920000000002, timeString=13.84, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465735, subwayLine=YUS, stationId=LWW2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=0.8527777777777777, timeString=00.85, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465736, subwayLine=YUS, stationId=LWW2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=10.621482222222221, timeString=10.62, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465737, subwayLine=YUS, stationId=LWW2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=13.94652, timeString=13.95, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465738, subwayLine=YUS, stationId=YKD2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=2.879004444444444, timeString=02.88, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465739, subwayLine=YUS, stationId=YKD2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=12.64770888888889, timeString=12.65, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465740, subwayLine=YUS, stationId=YKD2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=15.972746666666666, timeString=15.97, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465741, subwayLine=YUS, stationId=WIL2, trainId=106, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465742, subwayLine=YUS, stationId=WIL2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=0.4154311111111111, timeString=00.42, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465743, subwayLine=YUS, stationId=WIL2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=4.898457777777778, timeString=04.90, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465744, subwayLine=YUS, stationId=SHW2, trainId=126, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465745, subwayLine=YUS, stationId=SHW2, trainId=104, trainMessage=Delayed, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465746, subwayLine=YUS, stationId=SHW2, trainId=106, trainMessage=Delayed, trainDirection=South, timeInt=3.851277777777778, timeString=03.85, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465747, subwayLine=YUS, stationId=SHW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465748, subwayLine=YUS, stationId=SHW1, trainId=104, trainMessage=Delayed, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465749, subwayLine=YUS, stationId=SHW1, trainId=106, trainMessage=Delayed, trainDirection=South, timeInt=3.851277777777778, timeString=03.85, trainDestination=SHW2, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465750, subwayLine=YUS, stationId=WIL1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=0.5053132444444444, timeString=00.51, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465751, subwayLine=YUS, stationId=WIL1, trainId=532, trainMessage=Delayed, trainDirection=North, timeInt=1.3834799111111111, timeString=01.38, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465752, subwayLine=YUS, stationId=YKD1, trainId=123, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465753, subwayLine=YUS, stationId=YKD1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=1.3716, timeString=01.37, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465754, subwayLine=YUS, stationId=YKD1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=2.5208154666666664, timeString=02.52, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465755, subwayLine=YUS, stationId=LWW1, trainId=122, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465756, subwayLine=YUS, stationId=LWW1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=2.0183244444444446, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465757, subwayLine=YUS, stationId=LWW1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=3.389924444444444, timeString=03.39, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465758, subwayLine=YUS, stationId=GCN1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=1.358488888888889, timeString=01.36, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465759, subwayLine=YUS, stationId=GCN1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=3.3768133333333337, timeString=03.38, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465760, subwayLine=YUS, stationId=GCN1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=4.748413333333333, timeString=04.75, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465761, subwayLine=YUS, stationId=EGW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.1786933333333334, timeString=03.18, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465762, subwayLine=YUS, stationId=EGW1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=5.197017777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465763, subwayLine=YUS, stationId=EGW1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=6.568617777777777, timeString=06.57, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465764, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=1.4295925925925925, timeString=01.43, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465765, subwayLine=YUS, stationId=SCW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=7.878128888888888, timeString=07.88, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465766, subwayLine=YUS, stationId=SCW1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=9.896453333333332, timeString=09.90, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465767, subwayLine=YUS, stationId=DUP1, trainId=192, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465768, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=4.054130370370371, timeString=04.05, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465769, subwayLine=YUS, stationId=DUP1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=10.502666666666665, timeString=10.50, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465770, subwayLine=YUS, stationId=SPA1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=1.0006311111111112, timeString=01.00, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465771, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=5.054761481481481, timeString=05.05, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465772, subwayLine=YUS, stationId=SPA1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=11.503297777777778, timeString=11.50, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465773, subwayLine=YUS, stationId=SGU1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=2.130237777777778, timeString=02.13, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465774, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=6.184368148148148, timeString=06.18, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465775, subwayLine=YUS, stationId=SGU1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=12.632904444444442, timeString=12.63, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465776, subwayLine=YUS, stationId=MUS1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=0.450596, timeString=00.45, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465777, subwayLine=YUS, stationId=MUS1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=3.3322344444444445, timeString=03.33, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465778, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=7.386364814814815, timeString=07.39, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465779, subwayLine=YUS, stationId=QPK1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=1.7131293333333333, timeString=01.71, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465780, subwayLine=YUS, stationId=QPK1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=4.594767777777777, timeString=04.59, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465781, subwayLine=YUS, stationId=QPK1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=8.648898148148149, timeString=08.65, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465782, subwayLine=YUS, stationId=STP1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=2.8639026666666663, timeString=02.86, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465783, subwayLine=YUS, stationId=STP1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=5.745541111111111, timeString=05.75, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465784, subwayLine=YUS, stationId=STP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=9.799671481481482, timeString=09.80, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465785, subwayLine=YUS, stationId=OSG1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=3.6150493333333333, timeString=03.62, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465786, subwayLine=YUS, stationId=OSG1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=6.496687777777778, timeString=06.50, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465787, subwayLine=YUS, stationId=OSG1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=10.550818148148148, timeString=10.55, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465788, subwayLine=YUS, stationId=STA1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=4.4488871111111115, timeString=04.45, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465789, subwayLine=YUS, stationId=STA1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=7.330525555555555, timeString=07.33, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465790, subwayLine=YUS, stationId=STA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=11.384655925925925, timeString=11.38, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465791, subwayLine=YUS, stationId=UNI1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=0.6519333333333333, timeString=00.65, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465792, subwayLine=YUS, stationId=UNI1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=5.3558204444444435, timeString=05.36, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465793, subwayLine=YUS, stationId=UNI1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=8.237458888888888, timeString=08.24, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465794, subwayLine=YUS, stationId=KNG1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=1.4468244444444442, timeString=01.45, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465795, subwayLine=YUS, stationId=KNG1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=6.150711555555555, timeString=06.15, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465796, subwayLine=YUS, stationId=KNG1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=9.03235, timeString=09.03, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465797, subwayLine=YUS, stationId=QUN1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.2724777777777776, timeString=02.27, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465798, subwayLine=YUS, stationId=QUN1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=6.976364888888888, timeString=06.98, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465799, subwayLine=YUS, stationId=QUN1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=9.858003333333333, timeString=09.86, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465800, subwayLine=YUS, stationId=DUN1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=3.027011111111111, timeString=03.03, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465801, subwayLine=YUS, stationId=DUN1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=7.730898222222221, timeString=07.73, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465802, subwayLine=YUS, stationId=DUN1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=10.612536666666665, timeString=10.61, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465803, subwayLine=YUS, stationId=COL1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=3.893868888888889, timeString=03.89, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465804, subwayLine=YUS, stationId=COL1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=8.597756, timeString=08.60, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465805, subwayLine=YUS, stationId=COL1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=11.479394444444441, timeString=11.48, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465806, subwayLine=YUS, stationId=WEL1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.6626577777777778, timeString=00.66, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465807, subwayLine=YUS, stationId=WEL1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=4.8115266666666665, timeString=04.81, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
NTASData [id=16594465808, subwayLine=YUS, stationId=WEL1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=9.515413777777777, timeString=09.52, trainDestination=FIN1, createDate=Sun Sep 17 11:59:04 EDT 2017, systemMessageType=Normal]
