NTASData [id=16594127130, subwayLine=YUS, stationId=YKM2, trainId=112, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:33:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594127131, subwayLine=YUS, stationId=YKM2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=6.333937777777778, timeString=06.33, trainDestination=SHW2, createDate=Sun Sep 17 11:33:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594127132, subwayLine=YUS, stationId=LAW2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=3.512973333333333, timeString=03.51, trainDestination=SHW2, createDate=Sun Sep 17 11:33:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594127133, subwayLine=YUS, stationId=LAW2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=9.846911111111112, timeString=09.85, trainDestination=SHW2, createDate=Sun Sep 17 11:33:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594127134, subwayLine=YUS, stationId=EGL2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=3.7721822222222223, timeString=03.77, trainDestination=SHW2, createDate=Sun Sep 17 11:33:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594127135, subwayLine=YUS, stationId=EGL2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=7.795848888888889, timeString=07.80, trainDestination=SHW2, createDate=Sun Sep 17 11:33:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594127136, subwayLine=YUS, stationId=EGL2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=14.129786666666666, timeString=14.13, trainDestination=SHW2, createDate=Sun Sep 17 11:33:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594127137, subwayLine=YUS, stationId=DAV2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=5.3818488888888885, timeString=05.38, trainDestination=SHW2, createDate=Sun Sep 17 11:33:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594127138, subwayLine=YUS, stationId=DAV2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=9.405515555555555, timeString=09.41, trainDestination=SHW2, createDate=Sun Sep 17 11:33:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594127139, subwayLine=YUS, stationId=DAV2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=15.739453333333334, timeString=15.74, trainDestination=SHW2, createDate=Sun Sep 17 11:33:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594127140, subwayLine=YUS, stationId=STC2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=1.784208888888889, timeString=01.78, trainDestination=SHW2, createDate=Sun Sep 17 11:33:27 EDT 2017, systemMessageType=Normal]
