NTASData [id=16593728112, subwayLine=YUS, stationId=WIL1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=2.7868502814814815, timeString=02.79, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728113, subwayLine=YUS, stationId=YKD1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=4.802352503703703, timeString=04.80, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728114, subwayLine=YUS, stationId=LWW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=6.820676948148147, timeString=06.82, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728115, subwayLine=YUS, stationId=GCN1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=8.179165837037036, timeString=08.18, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728116, subwayLine=YUS, stationId=EGW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=9.99937028148148, timeString=10.00, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728117, subwayLine=YUS, stationId=SCW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=14.698805837037037, timeString=14.70, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728118, subwayLine=YUS, stationId=DUP1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=0.27875925925925926, timeString=00.28, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728119, subwayLine=YUS, stationId=DUP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=17.323343614814814, timeString=17.32, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728120, subwayLine=YUS, stationId=SPA1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=1.2793903703703702, timeString=01.28, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728121, subwayLine=YUS, stationId=SPA1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=18.32397472592593, timeString=18.32, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728122, subwayLine=YUS, stationId=SGU1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=2.408997037037037, timeString=02.41, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728123, subwayLine=YUS, stationId=SGU1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=19.453581392592593, timeString=19.45, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728124, subwayLine=YUS, stationId=MUS1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=3.6109937037037034, timeString=03.61, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728125, subwayLine=YUS, stationId=MUS1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=20.65557805925926, timeString=20.66, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728126, subwayLine=YUS, stationId=QPK1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=4.873527037037037, timeString=04.87, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728127, subwayLine=YUS, stationId=QPK1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=21.918111392592593, timeString=21.92, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728128, subwayLine=YUS, stationId=STP1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=6.024300370370371, timeString=06.02, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728129, subwayLine=YUS, stationId=STP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=23.068884725925923, timeString=23.07, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728130, subwayLine=YUS, stationId=OSG1, trainId=117, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728131, subwayLine=YUS, stationId=OSG1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=6.775447037037036, timeString=06.78, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728132, subwayLine=YUS, stationId=OSG1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=23.82003139259259, timeString=23.82, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728133, subwayLine=YUS, stationId=STA1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=0.8338377777777778, timeString=00.83, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728134, subwayLine=YUS, stationId=STA1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=7.609284814814815, timeString=07.61, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728135, subwayLine=YUS, stationId=STA1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=24.653869170370367, timeString=24.65, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728136, subwayLine=YUS, stationId=UNI1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=1.740771111111111, timeString=01.74, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728137, subwayLine=YUS, stationId=UNI1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=8.516218148148148, timeString=08.52, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728138, subwayLine=YUS, stationId=UNI1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=25.5608025037037, timeString=25.56, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728139, subwayLine=YUS, stationId=KNG1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=2.5356622222222223, timeString=02.54, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728140, subwayLine=YUS, stationId=KNG1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=9.31110925925926, timeString=09.31, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728141, subwayLine=YUS, stationId=KNG1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=26.35569361481481, timeString=26.36, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728142, subwayLine=YUS, stationId=QUN1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=3.3613155555555556, timeString=03.36, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728143, subwayLine=YUS, stationId=QUN1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=10.136762592592591, timeString=10.14, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728144, subwayLine=YUS, stationId=QUN1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=27.181346948148143, timeString=27.18, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728145, subwayLine=YUS, stationId=DUN1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=4.115848888888889, timeString=04.12, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728146, subwayLine=YUS, stationId=DUN1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=10.891295925925924, timeString=10.89, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728147, subwayLine=YUS, stationId=DUN1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=27.935880281481474, timeString=27.94, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728148, subwayLine=YUS, stationId=COL1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=4.982706666666667, timeString=04.98, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728149, subwayLine=YUS, stationId=COL1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=11.7581537037037, timeString=11.76, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728150, subwayLine=YUS, stationId=COL1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=28.802738059259255, timeString=28.80, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728151, subwayLine=YUS, stationId=WEL1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=5.900364444444444, timeString=05.90, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728152, subwayLine=YUS, stationId=WEL1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=12.67581148148148, timeString=12.68, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728153, subwayLine=YUS, stationId=WEL1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=29.72039583703703, timeString=29.72, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728154, subwayLine=YUS, stationId=BLO1, trainId=114, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728155, subwayLine=YUS, stationId=BLO1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=0.6993466666666667, timeString=00.70, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728156, subwayLine=YUS, stationId=BLO1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=6.854711111111111, timeString=06.85, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728157, subwayLine=YUS, stationId=ROS1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=1.3285733333333334, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728158, subwayLine=YUS, stationId=ROS1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=2.02792, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728159, subwayLine=YUS, stationId=ROS1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=8.183284444444444, timeString=08.18, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728160, subwayLine=YUS, stationId=SUM1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=2.357991111111111, timeString=02.36, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728161, subwayLine=YUS, stationId=SUM1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=3.0573377777777777, timeString=03.06, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728162, subwayLine=YUS, stationId=SUM1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=9.212702222222221, timeString=09.21, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728163, subwayLine=YUS, stationId=STC1, trainId=112, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728164, subwayLine=YUS, stationId=STC1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=3.7661511111111112, timeString=03.77, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728165, subwayLine=YUS, stationId=STC1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=4.465497777777777, timeString=04.47, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728166, subwayLine=YUS, stationId=DAV1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=2.0324355555555558, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728167, subwayLine=YUS, stationId=DAV1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=5.798586666666667, timeString=05.80, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728168, subwayLine=YUS, stationId=DAV1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=6.497933333333332, timeString=06.50, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728169, subwayLine=YUS, stationId=EGL1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=3.646617777777778, timeString=03.65, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728170, subwayLine=YUS, stationId=EGL1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=7.412768888888889, timeString=07.41, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728171, subwayLine=YUS, stationId=EGL1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=8.112115555555555, timeString=08.11, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728172, subwayLine=YUS, stationId=LAW1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=3.31724, timeString=03.32, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728173, subwayLine=YUS, stationId=LAW1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=7.938524444444444, timeString=07.94, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728174, subwayLine=YUS, stationId=LAW1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=11.704675555555555, timeString=11.70, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728175, subwayLine=YUS, stationId=YKM1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=6.831906666666666, timeString=06.83, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728176, subwayLine=YUS, stationId=YKM1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=11.453191111111112, timeString=11.45, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728177, subwayLine=YUS, stationId=YKM1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=15.219342222222224, timeString=15.22, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728178, subwayLine=YUS, stationId=SHP1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=2.0895733333333335, timeString=02.09, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728179, subwayLine=YUS, stationId=SHP1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=10.418257777777777, timeString=10.42, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728180, subwayLine=YUS, stationId=SHP1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=15.039542222222224, timeString=15.04, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728181, subwayLine=YUS, stationId=NYC1, trainId=109, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728182, subwayLine=YUS, stationId=NYC1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=3.5507911111111112, timeString=03.55, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728183, subwayLine=YUS, stationId=NYC1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=11.879475555555556, timeString=11.88, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728184, subwayLine=YUS, stationId=FIN1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=2.60704, timeString=02.61, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728185, subwayLine=YUS, stationId=FIN1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=6.157831111111111, timeString=06.16, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728186, subwayLine=YUS, stationId=FIN1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=14.486515555555556, timeString=14.49, trainDestination=FIN1, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16593728187, subwayLine=YUS, stationId=FIN2, trainId=108, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:04:27 EDT 2017, systemMessageType=Normal]
