NTASData [id=16594073219, subwayLine=BD, stationId=DUF1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=5.718049783281735, timeString=05.72, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073220, subwayLine=BD, stationId=DUF1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=10.199489981424149, timeString=10.20, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073221, subwayLine=BD, stationId=OSS1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=2.1293089783281736, timeString=02.13, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073222, subwayLine=BD, stationId=OSS1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=6.967849040247678, timeString=06.97, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073223, subwayLine=BD, stationId=OSS1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=11.449289238390094, timeString=11.45, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073224, subwayLine=BD, stationId=CHR1, trainId=207, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073225, subwayLine=BD, stationId=CHR1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=3.3627849213622296, timeString=03.36, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073226, subwayLine=BD, stationId=CHR1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=8.201324983281735, timeString=08.20, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073227, subwayLine=BD, stationId=BAT1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=0.983405944272446, timeString=00.98, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073228, subwayLine=BD, stationId=BAT1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=4.346190865634675, timeString=04.35, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073229, subwayLine=BD, stationId=BAT1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=9.18473092755418, timeString=09.18, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073230, subwayLine=BD, stationId=BSP1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=1.9175531888544894, timeString=01.92, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073231, subwayLine=BD, stationId=BSP1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=5.280338110216718, timeString=05.28, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073232, subwayLine=BD, stationId=BSP1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=10.118878172136224, timeString=10.12, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073233, subwayLine=BD, stationId=SGL1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=2.8282034674922603, timeString=02.83, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073234, subwayLine=BD, stationId=SGL1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=6.190988388854489, timeString=06.19, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073235, subwayLine=BD, stationId=SGL1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=11.029528450773993, timeString=11.03, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073236, subwayLine=BD, stationId=BAU1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=3.9198936222910223, timeString=03.92, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073237, subwayLine=BD, stationId=BAU1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=7.282678543653251, timeString=07.28, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073238, subwayLine=BD, stationId=BAU1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=12.121218605572755, timeString=12.12, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073239, subwayLine=BD, stationId=YNG1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=0.5452428482972137, timeString=00.55, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073240, subwayLine=BD, stationId=YNG1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=4.720136470588236, timeString=04.72, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073241, subwayLine=BD, stationId=YNG1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=8.082921391950464, timeString=08.08, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073242, subwayLine=BD, stationId=SHE1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=1.8646837151702789, timeString=01.86, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073243, subwayLine=BD, stationId=SHE1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=6.039577337461301, timeString=06.04, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073244, subwayLine=BD, stationId=SHE1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=9.40236225882353, timeString=09.40, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073245, subwayLine=BD, stationId=CFK1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=2.902727182662539, timeString=02.90, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073246, subwayLine=BD, stationId=CFK1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=7.077620804953561, timeString=07.08, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073247, subwayLine=BD, stationId=CFK1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=10.44040572631579, timeString=10.44, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073248, subwayLine=BD, stationId=BRD1, trainId=205, trainMessage=Arriving, trainDirection=East, timeInt=1.3195103405572757, timeString=01.32, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073249, subwayLine=BD, stationId=BRD1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=4.477237523219815, timeString=04.48, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
NTASData [id=16594073250, subwayLine=BD, stationId=BRD1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=8.652131145510836, timeString=08.65, trainDestination=KEN1, createDate=Sun Sep 17 11:29:27 EDT 2017, systemMessageType=Normal]
