NTASData [id=16594308233, subwayLine=YUS, stationId=SGU2, trainId=108, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308234, subwayLine=YUS, stationId=SGU2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=5.013597777777777, timeString=05.01, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308235, subwayLine=YUS, stationId=SGU2, trainId=94, trainMessage=Delayed, trainDirection=South, timeInt=5.436507777777777, timeString=05.44, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308236, subwayLine=YUS, stationId=SPA2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=1.1677066666666667, timeString=01.17, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308237, subwayLine=YUS, stationId=SPA2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=6.181304444444445, timeString=06.18, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308238, subwayLine=YUS, stationId=SPA2, trainId=94, trainMessage=Delayed, trainDirection=South, timeInt=6.604214444444445, timeString=06.60, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308239, subwayLine=YUS, stationId=DUP2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=0.5661377777777779, timeString=00.57, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308240, subwayLine=YUS, stationId=DUP2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=2.1655155555555554, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308241, subwayLine=YUS, stationId=DUP2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=7.1791133333333335, timeString=07.18, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308242, subwayLine=YUS, stationId=SCW2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=3.190675555555556, timeString=03.19, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308243, subwayLine=YUS, stationId=SCW2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=4.790053333333333, timeString=04.79, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308244, subwayLine=YUS, stationId=SCW2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=9.803651111111112, timeString=09.80, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308245, subwayLine=YUS, stationId=EGW2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=2.3380185185185183, timeString=02.34, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308246, subwayLine=YUS, stationId=EGW2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=8.003846666666668, timeString=08.00, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308247, subwayLine=YUS, stationId=EGW2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=9.603224444444445, timeString=09.60, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308248, subwayLine=YUS, stationId=GCN2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=4.157658518518518, timeString=04.16, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308249, subwayLine=YUS, stationId=GCN2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=9.823486666666668, timeString=09.82, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308250, subwayLine=YUS, stationId=GCN2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=11.422864444444444, timeString=11.42, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308251, subwayLine=YUS, stationId=LWW2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=5.521791851851852, timeString=05.52, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308252, subwayLine=YUS, stationId=LWW2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=11.187619999999999, timeString=11.19, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308253, subwayLine=YUS, stationId=LWW2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=12.786997777777778, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308254, subwayLine=YUS, stationId=YKD2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=1.4702037037037037, timeString=01.47, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308255, subwayLine=YUS, stationId=YKD2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=7.548018518518518, timeString=07.55, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308256, subwayLine=YUS, stationId=YKD2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=13.213846666666667, timeString=13.21, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308257, subwayLine=YUS, stationId=WIL2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=3.489657037037037, timeString=03.49, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308258, subwayLine=YUS, stationId=WIL2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=9.56747185185185, timeString=09.57, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308259, subwayLine=YUS, stationId=WIL2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=15.2333, timeString=15.23, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308260, subwayLine=YUS, stationId=SHW2, trainId=126, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308261, subwayLine=YUS, stationId=SHW2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308262, subwayLine=YUS, stationId=SHW2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=7.340934814814815, timeString=07.34, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308263, subwayLine=YUS, stationId=SHW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308264, subwayLine=YUS, stationId=SHW1, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308265, subwayLine=YUS, stationId=SHW1, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=7.340934814814815, timeString=07.34, trainDestination=SHW2, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308266, subwayLine=YUS, stationId=WIL1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=0.5053132444444444, timeString=00.51, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308267, subwayLine=YUS, stationId=WIL1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=1.3834799111111111, timeString=01.38, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308268, subwayLine=YUS, stationId=WIL1, trainId=532, trainMessage=Delayed, trainDirection=North, timeInt=2.7868502814814815, timeString=02.79, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308269, subwayLine=YUS, stationId=YKD1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=0.5926666666666667, timeString=00.59, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308270, subwayLine=YUS, stationId=YKD1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=1.50114, timeString=01.50, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308271, subwayLine=YUS, stationId=YKD1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=2.5208154666666664, timeString=02.52, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308272, subwayLine=YUS, stationId=LWW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=0.4872222222222223, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308273, subwayLine=YUS, stationId=LWW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=2.6109911111111113, timeString=02.61, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308274, subwayLine=YUS, stationId=LWW1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=3.5194644444444445, timeString=03.52, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308275, subwayLine=YUS, stationId=GCN1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=1.845711111111111, timeString=01.85, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308276, subwayLine=YUS, stationId=GCN1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.96948, timeString=03.97, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308277, subwayLine=YUS, stationId=GCN1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=4.877953333333333, timeString=04.88, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308278, subwayLine=YUS, stationId=EGW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=3.6659155555555554, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308279, subwayLine=YUS, stationId=EGW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=5.789684444444444, timeString=05.79, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308280, subwayLine=YUS, stationId=EGW1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=6.698157777777777, timeString=06.70, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308281, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=8.36535111111111, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308282, subwayLine=YUS, stationId=SCW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=10.489119999999998, timeString=10.49, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308283, subwayLine=YUS, stationId=SCW1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=11.397593333333331, timeString=11.40, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308284, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=10.989888888888888, timeString=10.99, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308285, subwayLine=YUS, stationId=DUP1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=13.113657777777778, timeString=13.11, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308286, subwayLine=YUS, stationId=DUP1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=14.022131111111111, timeString=14.02, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308287, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=11.99052, timeString=11.99, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308288, subwayLine=YUS, stationId=SPA1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=14.114288888888888, timeString=14.11, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308289, subwayLine=YUS, stationId=SPA1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=15.022762222222221, timeString=15.02, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308290, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=13.120126666666666, timeString=13.12, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308291, subwayLine=YUS, stationId=SGU1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=15.243895555555554, timeString=15.24, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308292, subwayLine=YUS, stationId=SGU1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=16.152368888888887, timeString=16.15, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308293, subwayLine=YUS, stationId=MUS1, trainId=107, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308294, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=14.322123333333332, timeString=14.32, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308295, subwayLine=YUS, stationId=MUS1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=16.44589222222222, timeString=16.45, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308296, subwayLine=YUS, stationId=QPK1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=1.2625333333333333, timeString=01.26, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308297, subwayLine=YUS, stationId=QPK1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=15.584656666666666, timeString=15.58, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308298, subwayLine=YUS, stationId=QPK1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=17.708425555555554, timeString=17.71, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594308299, subwayLine=YUS, stationId=STP1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=2.4133066666666663, timeString=02.41, trainDestination=FIN1, createDate=Sun Sep 17 11:46:53 EDT 2017, systemMessageType=Normal]
