NTASData [id=16594132638, subwayLine=YUS, stationId=OSG1, trainId=94, trainMessage=Arriving, trainDirection=North, timeInt=4.1114500000000005, timeString=04.11, trainDestination=FIN1, createDate=Sun Sep 17 11:33:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594132639, subwayLine=YUS, stationId=OSG1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=6.241687777777777, timeString=06.24, trainDestination=FIN1, createDate=Sun Sep 17 11:33:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594132640, subwayLine=YUS, stationId=STA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=2.7357577777777777, timeString=02.74, trainDestination=FIN1, createDate=Sun Sep 17 11:33:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594132641, subwayLine=YUS, stationId=STA1, trainId=94, trainMessage=Arriving, trainDirection=North, timeInt=4.945287777777779, timeString=04.95, trainDestination=FIN1, createDate=Sun Sep 17 11:33:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594132642, subwayLine=YUS, stationId=STA1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=7.075525555555554, timeString=07.08, trainDestination=FIN1, createDate=Sun Sep 17 11:33:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594132643, subwayLine=YUS, stationId=UNI1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=0.4893733333333333, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 11:33:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594132644, subwayLine=YUS, stationId=UNI1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=3.6426911111111115, timeString=03.64, trainDestination=FIN1, createDate=Sun Sep 17 11:33:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594132645, subwayLine=YUS, stationId=UNI1, trainId=94, trainMessage=Arriving, trainDirection=North, timeInt=5.8522211111111115, timeString=05.85, trainDestination=FIN1, createDate=Sun Sep 17 11:33:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594132646, subwayLine=YUS, stationId=KNG1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=1.2842644444444442, timeString=01.28, trainDestination=FIN1, createDate=Sun Sep 17 11:33:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594132647, subwayLine=YUS, stationId=KNG1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=4.437582222222223, timeString=04.44, trainDestination=FIN1, createDate=Sun Sep 17 11:33:50 EDT 2017, systemMessageType=Normal]
