NTASData [id=16594694731, subwayLine=YUS, stationId=QUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=14.378626666666667, timeString=14.38, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694732, subwayLine=YUS, stationId=QUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=21.468919999999997, timeString=21.47, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694733, subwayLine=YUS, stationId=KNG2, trainId=16, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694734, subwayLine=YUS, stationId=KNG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.66116888888889, timeString=05.66, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694735, subwayLine=YUS, stationId=KNG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=15.204279999999999, timeString=15.20, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694736, subwayLine=YUS, stationId=UNI2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=0.8070266666666667, timeString=00.81, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694737, subwayLine=YUS, stationId=UNI2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=6.468195555555555, timeString=06.47, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694738, subwayLine=YUS, stationId=UNI2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=16.011306666666666, timeString=16.01, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694739, subwayLine=YUS, stationId=STA2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=1.7337155555555555, timeString=01.73, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694740, subwayLine=YUS, stationId=STA2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=7.394884444444443, timeString=07.39, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694741, subwayLine=YUS, stationId=STA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=16.937995555555556, timeString=16.94, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694742, subwayLine=YUS, stationId=OSG2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.4289822222222224, timeString=02.43, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694743, subwayLine=YUS, stationId=OSG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=8.09015111111111, timeString=08.09, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694744, subwayLine=YUS, stationId=OSG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=17.633262222222218, timeString=17.63, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694745, subwayLine=YUS, stationId=STP2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=3.182951111111111, timeString=03.18, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694746, subwayLine=YUS, stationId=STP2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=8.84412, timeString=08.84, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694747, subwayLine=YUS, stationId=STP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=18.387231111111106, timeString=18.39, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694748, subwayLine=YUS, stationId=QPK2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.5492044444444445, timeString=00.55, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694749, subwayLine=YUS, stationId=QPK2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=4.325257777777778, timeString=04.33, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694750, subwayLine=YUS, stationId=QPK2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=9.986426666666667, timeString=09.99, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694751, subwayLine=YUS, stationId=MUS2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=1.8117377777777777, timeString=01.81, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694752, subwayLine=YUS, stationId=MUS2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=5.587791111111111, timeString=05.59, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
